Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
11,Sam LaPorta,DET,TE,22,17,14,0,0,0,0,0,1,4,4.0,0,120,86,889,10.34,10,0,0,10,2.0,,153.0,239.3,242.3,196.3,65.0,1,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,,120.0,86.0,889.0,48.0,531.0,6.2,358.0,4.2,7.1,9.0,9.6,5.0,4.2,3.0,110.0,"PB,AP-2,AP ORoY-3",2023
22,George Kittle,SFO,TE,30,16,16,0,0,0,0,0,1,2,2.0,0,90,65,1020,15.69,6,0,0,6,,,138.0,203.2,206.2,170.7,51.0,2,22.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,90.0,65.0,1020.0,42.0,537.0,8.3,483.0,7.4,9.5,5.0,13.0,4.0,4.4,2.0,122.5,"PB,AP-1",2023
26,Travis Kelce,KAN,TE,34,15,15,0,0,0,0,0,0,0,,0,121,93,984,10.58,5,1,1,5,,,126.0,219.4,223.4,172.9,40.0,3,26.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,93.0,984.0,50.0,515.0,5.5,469.0,5.0,6.7,4.0,23.3,7.0,5.8,2.0,106.9,PB,2023
28,T.J. Hockenson,MIN,TE,26,15,11,0,0,0,0,0,0,0,,0,127,95,960,10.11,5,1,1,5,,,124.0,219.0,223.0,171.5,37.0,4,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,95.0,960.0,48.0,624.0,6.6,336.0,3.5,7.7,4.0,23.8,4.0,3.1,1.0,105.8,,2023
30,David Njoku,CLE,TE,27,16,16,0,0,0,0,0,0,0,,0,123,81,882,10.89,6,2,2,6,,,120.0,201.2,206.2,160.7,34.0,5,30.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,81.0,882.0,35.0,283.0,3.5,599.0,7.4,4.5,10.0,8.1,11.0,8.9,4.0,89.5,PB,2023
36,Evan Engram,JAX,TE,29,17,15,0,0,0,0,0,0,0,,0,143,114,963,8.45,4,3,2,4,,,116.0,230.3,235.3,173.3,30.0,6,36.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,114.0,963.0,47.0,455.0,4.0,508.0,4.5,5.0,5.0,22.8,7.0,4.9,3.0,95.3,PB,2023
41,Taysom Hill,NOR,TE,33,16,7,6,11,83,1,0,81,401,4.95,4,40,33,291,8.82,2,1,1,6,,,111.0,143.5,150.5,127.0,25.0,7,41.0,,,6.0,11.0,126.0,11.5,65.0,10.8,5.9,18.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,27.3,7.0,63.6,2.6,9.0,0.0,0.0,2.0,11.8,4.0,9.3,20.0,130.0,2.0,0.0,17.0,130.0,3.0,14.0,81.0,401.0,26.0,264.0,3.3,137.0,1.7,7.0,11.6,40.0,33.0,291.0,11.0,158.0,4.8,133.0,4.0,5.2,3.0,11.0,1.0,2.5,0.0,113.6,,2023
46,Cole Kmet,CHI,TE,24,17,17,0,0,0,0,0,3,2,0.67,0,90,73,719,9.85,6,1,0,6,,,108.0,181.1,184.1,144.6,22.0,8,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,2.0,0.7,0.0,0.0,0.0,,90.0,73.0,719.0,36.0,429.0,5.9,290.0,4.0,6.2,4.0,18.3,1.0,1.1,2.0,112.9,,2023
48,Jake Ferguson,DAL,TE,24,17,16,0,0,0,0,0,0,0,,0,102,71,761,10.72,5,0,0,5,,,106.0,177.1,180.1,141.6,21.0,9,48.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,71.0,761.0,40.0,336.0,4.7,425.0,6.0,5.1,6.0,11.8,5.0,4.9,1.0,103.4,PB,2023
56,Trey McBride,ARI,TE,24,17,12,0,0,0,0,0,0,0,,0,106,81,825,10.19,3,1,0,3,,,101.0,181.5,184.5,141.0,15.0,10,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,81.0,825.0,42.0,386.0,4.8,439.0,5.4,6.0,10.0,8.1,3.0,2.8,4.0,91.9,,2023
