Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Dalton Schultz,TE,24,16,14,0,0,0,0,0,0,0,,0,89,63,615,9.76,4,1.0,1,4,,,84.0,146.5,150.5,115.0,,18,,2020,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Evan Engram,TE,26,16,14,0,0,0,0,0,6,26,4.33,1,109,63,654,10.38,1,1.0,1,2,,,78.0,141.0,145.0,109.5,,19,,2020,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
George Kittle,TE,27,8,8,0,0,0,0,0,2,17,8.5,0,63,48,634,13.21,2,0.0,0,2,,,77.0,125.1,128.1,101.1,,20,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Dallas Goedert,TE,25,11,9,0,0,0,0,0,0,0,,0,65,46,524,11.39,3,0.0,0,3,,,70.0,116.4,119.4,93.4,,21,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Irv Smith Jr.,TE,22,13,7,0,0,0,0,0,0,0,,0,43,30,365,12.17,5,0.0,0,5,1.0,,69.0,98.5,101.5,83.5,,22,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Austin Hooper,TE,26,13,13,0,0,0,0,0,0,0,,0,70,46,435,9.46,4,0.0,0,4,,,68.0,113.5,116.5,90.5,,23,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dan Arnold,TE,25,16,5,0,0,0,0,0,0,0,,0,45,31,438,14.13,4,2.0,1,4,,,66.0,96.8,100.8,81.3,,24,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trey Burton,TE,29,13,4,0,0,0,0,0,2,3,1.5,2,47,28,250,8.93,3,0.0,0,5,,,55.0,83.3,86.3,69.3,,25,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darren Fells,TE,34,16,14,0,0,0,0,0,0,0,,0,28,21,312,14.86,4,0.0,0,4,,,55.0,76.2,79.2,65.7,,26,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gerald Everett,TE,26,16,7,0,0,0,0,0,1,2,2.0,1,62,41,417,10.17,1,1.0,1,2,,,52.0,92.9,96.9,72.4,,27,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mo Alie-Cox,TE,27,15,6,0,0,0,0,0,0,0,,0,39,31,394,12.71,2,1.0,1,2,,,49.0,80.4,84.4,64.9,,28,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordan Akins,TE,28,13,5,0,0,0,0,0,1,4,4.0,0,49,37,403,10.89,1,0.0,0,1,,,47.0,83.7,86.7,65.2,,31,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyler Eifert,TE,30,15,4,0,0,0,0,0,0,0,,0,60,36,349,9.69,2,0.0,0,2,,,47.0,82.9,85.9,64.9,,30,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordan Reed,TE,30,10,1,0,0,0,0,0,0,0,,0,46,26,231,8.88,4,0.0,0,4,,,47.0,73.1,76.1,60.1,,29,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Richard Rodgers,TE,28,14,4,0,0,0,0,0,0,0,,0,31,24,345,14.38,2,0.0,0,2,,,47.0,70.5,73.5,58.5,,32,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Chris Herndon,TE,24,16,13,0,0,0,0,0,0,0,,0,45,31,287,9.26,3,2.0,2,3,,,43.0,73.7,78.7,58.2,,34,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Dawson Knox,TE,24,12,7,0,0,0,0,0,0,0,,0,44,24,288,12.0,3,2.0,2,3,,,43.0,66.8,71.8,54.8,,33,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zach Ertz,TE,30,11,11,0,0,0,0,0,0,0,,0,72,36,335,9.31,1,0.0,0,1,1.0,,42.0,77.5,80.5,59.5,,35,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Jack Doyle,TE,30,14,12,0,0,0,0,0,0,0,,0,33,23,251,10.91,3,1.0,1,3,,,41.0,64.1,68.1,52.6,,36,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jacob Hollister,TE,27,16,5,0,0,0,0,0,0,0,,0,40,25,209,8.36,3,0.0,0,3,1.0,,41.0,65.9,68.9,53.4,,37,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Cameron Brate,TE,29,16,1,0,0,0,0,0,0,0,,0,34,28,282,10.07,2,0.0,0,2,,,40.0,68.2,71.2,54.2,,38,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
