Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
185,Foster Moreau,NOR,TE,27,17,17,0,0,0,0,0,0,0,,0,43,32,413,12.91,5,0,0,5,,,71.0,103.3,106.3,87.3,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,32.0,413.0,21.0,255.0,8.0,158.0,4.9,9.2,2.0,16.0,0.0,0.0,1.0,133.2,,2024
194,Dalton Schultz,HOU,TE,28,17,13,0,0,0,0,0,0,0,,0,85,53,532,10.04,2,0,0,2,,,65.0,118.2,121.2,91.7,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,53.0,532.0,26.0,318.0,6.0,214.0,4.0,8.1,0.0,,4.0,4.7,1.0,83.1,,2024
196,Austin Hooper,NWE,TE,30,17,8,0,0,0,0,0,0,0,,0,59,45,476,10.58,3,2,1,3,,,64.0,108.6,112.6,86.1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,45.0,476.0,25.0,251.0,5.6,225.0,5.0,5.8,3.0,15.0,1.0,1.7,2.0,102.1,,2024
198,Dallas Goedert,PHI,TE,29,10,10,0,0,0,0,0,0,0,,0,52,42,496,11.81,2,2,0,2,,,62.0,103.6,106.6,82.6,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,42.0,496.0,20.0,239.0,5.7,257.0,6.1,6.8,2.0,21.0,1.0,1.9,1.0,111.2,,2024
199,Chigoziem Okonkwo,TEN,TE,25,17,11,0,0,0,0,0,1,17,17.0,0,70,52,479,9.21,2,2,1,2,1.0,,62.0,113.6,117.6,87.6,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,1.0,14.0,14.0,3.0,3.0,0.0,,70.0,52.0,479.0,19.0,230.0,4.4,249.0,4.8,5.9,5.0,10.4,3.0,4.3,4.0,78.2,,2024
204,Will Dissly,LAC,TE,28,15,8,0,0,0,0,0,0,0,,0,64,50,481,9.62,2,0,0,2,,,60.0,110.1,113.1,85.1,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,50.0,481.0,24.0,178.0,3.6,303.0,6.1,4.6,4.0,12.5,4.0,6.3,0.0,108.4,,2024
213,Dalton Kincaid,BUF,TE,25,13,9,0,0,0,0,0,0,0,,0,75,44,448,10.18,2,1,0,2,,,57.0,100.8,103.8,78.8,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,44.0,448.0,23.0,174.0,4.0,274.0,6.2,7.5,4.0,11.0,6.0,8.0,0.0,84.7,,2024
214,Noah Fant,SEA,TE,27,14,9,0,0,0,0,0,0,0,,0,64,48,500,10.42,1,0,0,1,,,56.0,104.0,107.0,80.0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,48.0,500.0,25.0,223.0,4.6,277.0,5.8,5.4,2.0,24.0,1.0,1.6,3.0,82.8,,2024
223,Jordan Akins,CLE,TE,32,17,6,0,0,0,0,0,0,0,,0,58,40,390,9.75,2,1,0,2,,,51.0,91.0,94.0,71.0,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,40.0,390.0,20.0,213.0,5.3,177.0,4.4,6.0,1.0,40.0,1.0,1.7,1.0,91.9,,2024
225,Brenton Strange,JAX,TE,24,17,10,0,0,0,0,0,0,0,,0,53,40,411,10.28,2,1,1,2,,,51.0,91.1,95.1,71.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,40.0,411.0,21.0,228.0,5.7,183.0,4.6,6.4,3.0,13.3,3.0,5.7,0.0,109.9,,2024
