Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
9,Travis Kelce,KAN,TE,33,17,17,0,0,0,0,0,2,5,2.5,0,152,110,1338,12.16,12,1,1,12,1.0,,206.0,316.3,320.3,261.3,114.0,1,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,1.0,0.5,4.0,2.0,0.0,,152.0,110.0,1338.0,78.0,690.0,6.3,648.0,5.9,7.1,13.0,8.5,8.0,5.3,3.0,117.2,"PB,AP-1,AP OPoY-6",2022
23,George Kittle,SFO,TE,29,15,15,0,0,0,0,0,0,0,,0,86,60,765,12.75,11,1,1,11,,,141.0,200.5,204.5,170.5,52.0,2,23.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,60.0,765.0,36.0,383.0,6.4,382.0,6.4,6.5,4.0,15.0,3.0,3.5,2.0,127.2,"PB,AP-2",2022
25,Taysom Hill,NOR,TE,32,16,8,13,19,240,2,0,96,575,5.99,7,13,9,77,8.56,2,2,0,9,,,137.0,145.8,148.8,141.3,49.0,3,25.0,,,13.0,19.0,254.0,13.4,138.0,10.6,7.3,102.0,7.8,0.0,1.0,0.0,1.0,5.6,2.0,11.1,14.0,77.8,2.4,8.0,1.0,2.0,5.0,23.8,0.0,,20.0,95.0,5.0,26.0,14.0,69.0,6.0,35.0,96.0,575.0,34.0,354.0,3.7,221.0,2.3,1.0,96.0,13.0,9.0,77.0,5.0,40.0,4.4,37.0,4.1,5.8,0.0,,1.0,7.7,0.0,124.0,,2022
29,T.J. Hockenson,2TM,TE,25,17,14,0,0,0,0,0,0,0,,0,129,86,914,10.63,6,1,1,6,2.0,,129.0,215.4,219.4,172.4,42.0,4,29.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,86.0,914.0,44.0,511.0,5.9,403.0,4.7,7.5,7.0,12.3,7.0,5.4,4.0,89.7,PB,2022
42,Mark Andrews,BAL,TE,27,15,15,0,0,0,0,0,3,8,2.67,0,113,73,847,11.6,5,1,0,5,1.0,,118.0,190.5,193.5,154.0,30.0,5,42.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,3.0,4.0,1.3,4.0,1.3,0.0,,113.0,73.0,847.0,48.0,604.0,8.3,243.0,3.3,9.7,1.0,73.0,8.0,7.1,3.0,90.8,PB,2022
51,Evan Engram,JAX,TE,28,17,14,0,0,0,0,0,2,13,6.5,0,98,73,766,10.49,4,0,0,4,1.0,,104.0,176.9,179.9,140.4,18.0,6,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,1.0,13.0,6.5,0.0,0.0,0.0,,98.0,73.0,766.0,33.0,301.0,4.1,465.0,6.4,6.3,5.0,14.6,5.0,5.1,0.0,110.3,,2022
60,Cole Kmet,CHI,TE,23,17,17,0,0,0,0,0,2,9,4.5,0,69,50,544,10.88,7,1,0,7,,,97.0,147.3,150.3,122.3,11.0,7,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,1.0,9.0,4.5,0.0,0.0,0.0,,69.0,50.0,544.0,27.0,258.0,5.2,286.0,5.7,6.7,3.0,16.7,2.0,2.9,4.0,105.0,,2022
64,Juwan Johnson,NOR,TE,26,16,12,0,0,0,0,0,0,0,,0,65,42,508,12.1,7,0,0,7,,,93.0,134.8,137.8,113.8,7.0,8,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,42.0,508.0,25.0,326.0,7.8,182.0,4.3,9.0,1.0,42.0,3.0,4.6,2.0,111.6,,2022
71,Dawson Knox,BUF,TE,26,15,15,0,0,0,0,0,0,0,,0,65,48,517,10.77,6,0,0,6,,,88.0,135.7,138.7,111.7,2.0,9,71.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,48.0,517.0,25.0,324.0,6.8,193.0,4.0,7.9,3.0,16.0,4.0,6.2,3.0,108.3,PB,2022
72,Dallas Goedert,PHI,TE,27,12,12,0,0,0,0,0,0,0,,0,69,55,702,12.76,3,1,1,3,,,86.0,141.2,145.2,113.7,1.0,10,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,55.0,702.0,40.0,282.0,5.1,420.0,7.6,6.1,2.0,27.5,1.0,1.4,0.0,123.6,,2022
139,Dalton Schultz,DAL,TE,26,15,15,0,0,0,0,0,0,0,,0,89,57,577,10.12,5,1,1,5,,,86.0,142.7,146.7,114.2,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,57.0,577.0,27.0,373.0,6.5,204.0,3.6,7.2,5.0,11.4,6.0,6.7,5.0,77.8,,2022
143,Pat Freiermuth,PIT,TE,24,16,8,0,0,0,0,0,0,0,,0,98,63,732,11.62,2,0,0,2,,,85.0,148.2,151.2,116.7,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,63.0,732.0,37.0,441.0,7.0,291.0,4.6,8.3,6.0,10.5,4.0,4.1,4.0,76.6,,2022
144,David Njoku,CLE,TE,26,14,14,0,0,0,0,0,2,-8,-4.0,0,80,58,628,10.83,4,1,1,4,,,84.0,142.0,146.0,113.0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-8.0,0.0,-8.0,-4.0,0.0,0.0,0.0,,80.0,58.0,628.0,36.0,290.0,5.0,338.0,5.8,6.5,3.0,19.3,3.0,3.8,1.0,106.7,,2022
145,Gerald Everett,LAC,TE,28,16,11,0,0,0,0,0,1,0,0.0,0,87,58,555,9.57,4,0,0,4,1.0,,82.0,139.5,142.5,110.5,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,87.0,58.0,555.0,29.0,229.0,3.9,326.0,5.6,5.6,5.0,11.6,9.0,10.3,2.0,90.0,,2022
148,Jordan Akins,HOU,TE,30,15,3,0,0,0,0,0,0,0,,0,54,37,495,13.38,5,1,1,5,1.0,,80.0,116.5,120.5,98.0,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,37.0,495.0,23.0,225.0,6.1,270.0,7.3,6.1,1.0,37.0,3.0,5.6,1.0,120.5,,2022
149,Tyler Higbee,LAR,TE,29,17,17,0,0,0,0,0,0,0,,0,108,72,620,8.61,3,0,0,3,,,80.0,152.0,155.0,116.0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,72.0,620.0,32.0,216.0,3.0,404.0,5.6,3.0,3.0,24.0,7.0,6.5,3.0,79.2,,2022
155,Tyler Conklin,NYJ,TE,27,17,16,0,0,0,0,0,2,3,1.5,0,87,58,552,9.52,3,2,0,3,,,74.0,131.5,134.5,102.5,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,1.0,1.0,0.5,0.0,,87.0,58.0,552.0,25.0,259.0,4.5,293.0,5.1,6.8,2.0,29.0,4.0,4.6,2.0,86.0,,2022
160,Noah Fant,SEA,TE,25,17,16,0,0,0,0,0,0,0,,0,63,50,486,9.72,4,0,0,4,,,73.0,122.6,125.6,97.6,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,50.0,486.0,24.0,265.0,5.3,221.0,4.4,6.4,0.0,,1.0,1.6,0.0,120.0,,2022
169,Zach Ertz,ARI,TE,32,10,10,0,0,0,0,0,0,0,,0,69,47,406,8.64,4,0,0,4,2.0,,69.0,115.6,118.6,92.1,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,47.0,406.0,24.0,276.0,5.9,130.0,2.8,7.9,2.0,23.5,3.0,4.3,1.0,96.6,,2022
177,Mike Gesicki,MIA,TE,27,17,1,0,0,0,0,0,0,0,,0,52,32,362,11.31,5,0,0,5,,,66.0,98.2,101.2,82.2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,32.0,362.0,19.0,265.0,8.3,97.0,3.0,9.4,1.0,32.0,3.0,5.8,2.0,98.4,,2022
181,Chigoziem Okonkwo,TEN,TE,23,17,8,0,0,0,0,0,3,2,0.67,0,46,32,450,14.06,3,0,0,3,1.0,,65.0,97.2,100.2,81.2,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,0.0,2.0,0.7,0.0,,46.0,32.0,450.0,22.0,196.0,6.1,254.0,7.9,7.6,3.0,10.7,3.0,6.5,0.0,122.6,,2022
184,Hunter Henry,NWE,TE,28,17,14,0,0,0,0,0,0,0,,0,59,41,509,12.41,2,0,0,2,,,63.0,103.9,106.9,83.4,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,41.0,509.0,23.0,306.0,7.5,203.0,5.0,7.7,0.0,,3.0,5.1,1.0,100.2,,2022
195,Robert Tonyan,GNB,TE,28,17,3,0,0,0,0,0,0,0,,0,67,53,470,8.87,2,0,0,2,,,59.0,112.0,115.0,85.5,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,53.0,470.0,20.0,242.0,4.6,228.0,4.3,5.8,2.0,26.5,1.0,1.5,2.0,93.4,,2022
200,Darren Waller,LVR,TE,30,9,6,0,0,0,0,0,0,0,,0,43,28,388,13.86,3,0,0,3,,,57.0,84.8,87.8,70.8,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,28.0,388.0,18.0,308.0,11.0,80.0,2.9,13.5,0.0,,3.0,7.0,2.0,97.8,,2022
203,Austin Hooper,TEN,TE,28,17,2,0,0,0,0,0,0,0,,0,60,41,444,10.83,2,0,0,2,,,56.0,97.4,100.4,76.9,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,41.0,444.0,28.0,310.0,7.6,134.0,3.3,7.8,1.0,41.0,1.0,1.7,0.0,101.0,,2022
207,Isaiah Likely,BAL,TE,22,16,2,0,0,0,0,0,0,0,,0,60,36,373,10.36,3,0,0,3,,,55.0,91.3,94.3,73.3,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,36.0,373.0,18.0,222.0,6.2,151.0,4.2,6.8,5.0,7.2,6.0,10.0,1.0,87.7,,2022
212,Will Dissly,SEA,TE,26,15,15,0,0,0,0,0,0,0,,0,38,34,349,10.26,3,0,0,3,,,53.0,86.9,89.9,69.9,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,34.0,349.0,20.0,165.0,4.9,184.0,5.4,5.4,2.0,17.0,2.0,5.3,0.0,131.2,,2022
213,Greg Dulcich,DEN,TE,22,10,6,0,0,0,0,0,0,0,,0,55,33,411,12.45,2,0,0,2,,,53.0,86.1,89.1,69.6,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,33.0,411.0,18.0,256.0,7.8,155.0,4.7,11.5,1.0,33.0,2.0,3.6,3.0,72.6,,2022
214,Hayden Hurst,CIN,TE,29,13,13,0,0,0,0,0,0,0,,0,68,52,414,7.96,2,0,0,2,,,53.0,105.4,108.4,79.4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,52.0,414.0,26.0,222.0,4.3,192.0,3.7,4.9,5.0,10.4,2.0,2.9,1.0,94.9,,2022
215,Foster Moreau,LVR,TE,25,15,14,0,0,0,0,0,0,2,,0,54,33,420,12.73,2,1,1,2,,,52.0,85.2,89.2,68.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,,0.0,,0.0,,54.0,33.0,420.0,24.0,183.0,5.5,237.0,7.2,8.1,2.0,16.5,6.0,11.1,2.0,82.3,,2022
221,Cade Otton,TAM,TE,23,16,11,0,0,0,0,0,0,0,,0,65,42,391,9.31,2,0,0,2,,,51.0,93.1,96.1,72.1,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,42.0,391.0,19.0,217.0,5.2,174.0,4.1,4.9,2.0,21.0,5.0,7.7,0.0,91.2,,2022
224,Jelani Woods,IND,TE,24,15,2,0,0,0,0,0,0,0,,0,40,25,312,12.48,3,1,0,3,,,49.0,74.2,77.2,61.7,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,25.0,312.0,16.0,192.0,7.7,120.0,4.8,10.0,1.0,25.0,3.0,7.5,1.0,101.2,,2022
230,Kyle Pitts,ATL,TE,22,10,10,0,0,0,0,0,0,0,,0,59,28,356,12.71,2,0,0,2,,,48.0,75.6,78.6,61.6,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,28.0,356.0,20.0,230.0,8.2,126.0,4.5,13.8,0.0,,3.0,5.1,1.0,71.0,,2022
