Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
72,71,CHI,Velus Jones Jr.,WR,25,2024.0,0,0,0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,20.0,165.0,1.0,12.0,135.0,1.0,1.0,,,Tennessee,http://www.sports-reference.com/cfb/players/velus-jones-jr-1.html,62.0,120.0,1434.0,12.0,11.0,23.1,15.0,59.0,3.9,1.0,1.0,135.0,1493.0,11.1,12.0,,,,,,,,,,,,,
89,88,DAL,Jalen Tolbert,WR,23,2024.0,0,0,1,7.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,890.0,9.0,4.0,,,South Alabama,http://www.sports-reference.com/cfb/players/jalen-tolbert-1.html,47.0,178.0,3140.0,17.6,22.0,66.8,0.0,0.0,,0.0,0.0,178.0,3140.0,17.6,22.0,,,,,,,,,,,,,
100,99,CLE,David Bell,WR,21,2024.0,0,0,0,3.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,408.0,3.0,1.0,,,Purdue,http://www.sports-reference.com/cfb/players/david-bell-6.html,29.0,232.0,2946.0,12.7,21.0,101.6,6.0,51.0,8.5,1.0,1.8,238.0,2997.0,12.6,22.0,,,,,,,,,,,,,
106,105,SFO,Danny Gray,WR,23,2022.0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,10.0,0.0,,,,SMU,http://www.sports-reference.com/cfb/players/danny-gray-1.html,18.0,82.0,1251.0,15.3,13.0,69.5,6.0,70.0,11.7,2.0,3.9,88.0,1321.0,15.0,15.0,,,,,,,,,,,,,
126,125,MIA,Erik Ezukanma,WR,22,2024.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,1.0,3.0,0.0,,,,Texas Tech,http://www.sports-reference.com/cfb/players/erik-ezukanma-1.html,35.0,138.0,2165.0,15.7,15.0,61.9,10.0,138.0,13.8,2.0,3.9,148.0,2303.0,15.6,17.0,,,,,,,,,,,,,
133,132,GNB,Romeo Doubs,WR,22,2024.0,0,0,2,16.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,147.0,1700.0,15.0,,,,Nevada,http://www.sports-reference.com/cfb/players/romeo-doubs-1.html,44.0,225.0,3322.0,14.8,26.0,75.5,3.0,-1.0,-0.3,0.0,0.0,228.0,3321.0,14.6,26.0,,,,,,,,,,,,,
139,138,PIT,Calvin Austin III,WR,23,2024.0,0,0,0,8.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,1.0,53.0,728.0,5.0,,,,Memphis,http://www.sports-reference.com/cfb/players/calvin-austin-iii-1.html,45.0,156.0,2541.0,16.3,22.0,56.5,8.0,169.0,21.1,3.0,3.8,164.0,2710.0,16.5,25.0,1.0,1.0,100.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.2,158.8
149,148,BUF,Khalil Shakir,WR,22,2024.0,0,0,2,18.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,125.0,1593.0,7.0,1.0,,,Boise St.,http://www.sports-reference.com/cfb/players/khalil-shakir-1.html,43.0,208.0,2878.0,13.8,20.0,66.9,71.0,414.0,5.8,4.0,9.6,279.0,3292.0,11.8,24.0,4.0,5.0,80.0,20.0,1.0,20.0,1.0,20.0,4.0,-1.0,5.0,0.5,139.6
164,163,TEN,Kyle Philips,WR,23,2023.0,0,0,0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,259.0,0.0,,,,UCLA,http://www.sports-reference.com/cfb/players/kyle-philips-4.html,35.0,163.0,1821.0,11.2,17.0,52.0,5.0,47.0,9.4,0.0,1.3,168.0,1868.0,11.1,17.0,,,,,,,,,,,,,
192,191,MIN,Jalen Nailor,WR,23,2024.0,0,0,0,5.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,40.0,622.0,7.0,4.0,,,Michigan St.,http://www.sports-reference.com/cfb/players/jalen-nailor-1.html,28.0,86.0,1453.0,16.9,12.0,51.9,17.0,163.0,9.6,1.0,5.8,103.0,1616.0,15.7,13.0,,,,,,,,,,,,,
203,202,CLE,Michael Woods II,WR,22,2024.0,0,0,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,0.0,12.0,110.0,0.0,1.0,,,Oklahoma,http://www.sports-reference.com/cfb/players/mike-woods-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,229,SEA,Bo Melton,WR,23,2024.0,0,0,0,3.0,,22.0,0.0,0.0,0.0,0.0,0.0,11.0,75.0,0.0,24.0,309.0,1.0,2.0,,,Rutgers,http://www.sports-reference.com/cfb/players/bo-melton-1.html,56.0,164.0,2011.0,12.3,11.0,35.9,25.0,165.0,6.6,2.0,2.9,189.0,2176.0,11.5,13.0,,,,,,,,,,,,,
259,258,GNB,Samori Toure,WR,24,2023.0,0,0,0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,160.0,1.0,,,,Nebraska,http://www.sports-reference.com/cfb/players/samori-toure-1.html,12.0,46.0,898.0,19.5,5.0,74.8,8.0,63.0,7.9,1.0,5.3,54.0,961.0,17.8,6.0,,,,,,,,,,,,,
