Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Aaron Rodgers,QB,41,17,17,368.0,584.0,3897.0,28.0,11.0,22.0,107.0,4.86,0.0,0.0,0.0,0.0,,0.0,5.0,2.0,0,,2.0,257.0,256.6,275.6,267.6,,15,77.0,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Caleb Williams,QB,23,17,17,351.0,562.0,3541.0,20.0,6.0,81.0,489.0,6.04,0.0,0.0,0.0,0.0,,0.0,10.0,5.0,0,,3.0,255.0,254.5,271.5,260.5,,16,78.0,2024,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordan Love,QB,26,15,15,268.0,425.0,3389.0,25.0,11.0,25.0,83.0,3.32,1.0,0.0,0.0,0.0,,0.0,4.0,0.0,1,,3.0,234.0,233.9,247.9,244.9,,17,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C.J. Stroud,QB,23,17,17,336.0,532.0,3727.0,20.0,12.0,52.0,233.0,4.48,0.0,1.0,0.0,0.0,,0.0,6.0,4.0,0,,,220.0,220.4,242.4,232.4,,18,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matthew Stafford,QB,36,16,16,340.0,517.0,3762.0,20.0,8.0,30.0,41.0,1.37,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,0,,,215.0,214.6,227.6,222.6,,19,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bryce Young,QB,23,14,12,234.0,384.0,2403.0,15.0,9.0,43.0,249.0,5.79,6.0,0.0,0.0,0.0,,0.0,5.0,2.0,6,,,195.0,195.0,212.0,204.0,,20,,2024,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tua Tagovailoa,QB,26,11,11,291.0,399.0,2867.0,19.0,7.0,17.0,49.0,2.88,0.0,0.0,0.0,0.0,,0.0,7.0,2.0,0,,2.0,182.0,181.6,193.6,188.6,,21,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Drake Maye,QB,22,13,12,225.0,338.0,2276.0,15.0,10.0,54.0,421.0,7.8,2.0,0.0,0.0,0.0,,0.0,9.0,6.0,2,,2.0,177.0,177.1,199.1,187.1,,22,,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Kirk Cousins,QB,36,14,14,303.0,453.0,3508.0,18.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,2.0,0,,,176.0,176.3,197.3,192.3,,23,,2024,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Russell Wilson,QB,36,11,11,214.0,336.0,2482.0,16.0,5.0,43.0,155.0,3.6,2.0,0.0,0.0,0.0,,0.0,5.0,4.0,2,,,173.0,172.8,187.8,177.8,,24,,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anthony Richardson,QB,22,11,11,126.0,264.0,1814.0,8.0,12.0,86.0,499.0,5.8,6.0,1.0,1.0,-1.0,-1.0,0.0,9.0,3.0,6,1.0,,162.0,163.4,184.4,174.9,,25,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Derek Carr,QB,33,10,10,189.0,279.0,2145.0,15.0,5.0,17.0,71.0,4.18,1.0,0.0,0.0,0.0,,0.0,3.0,0.0,1,,1.0,151.0,150.9,158.9,155.9,,26,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Trevor Lawrence,QB,25,10,10,172.0,284.0,2045.0,11.0,7.0,26.0,119.0,4.58,3.0,0.0,0.0,-5.0,,0.0,3.0,1.0,3,,3.0,145.0,145.2,159.2,152.2,,27,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daniel Jones,QB,27,10,10,216.0,341.0,2070.0,8.0,7.0,67.0,265.0,3.96,2.0,0.0,0.0,0.0,,0.0,4.0,2.0,2,,,135.0,135.3,150.3,142.3,,28,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jameis Winston,QB,30,12,7,181.0,296.0,2121.0,13.0,12.0,25.0,83.0,3.32,1.0,0.0,0.0,0.0,,0.0,5.0,2.0,1,,4.0,131.0,131.1,148.1,143.1,,29,,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Will Levis,QB,25,12,12,190.0,301.0,2091.0,13.0,12.0,45.0,183.0,4.07,0.0,0.0,0.0,0.0,,0.0,10.0,6.0,0,,1.0,120.0,119.9,143.9,131.9,,30,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Justin Fields,QB,25,10,6,106.0,161.0,1106.0,5.0,1.0,62.0,289.0,4.66,5.0,0.0,0.0,0.0,,0.0,6.0,1.0,5,,,119.0,119.1,127.1,120.1,,31,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dak Prescott,QB,31,8,8,185.0,286.0,1978.0,11.0,8.0,13.0,54.0,4.15,1.0,0.0,0.0,0.0,,0.0,4.0,1.0,1,,,117.0,116.5,128.5,124.5,,32,,2024,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cooper Rush,QB,31,12,8,187.0,308.0,1844.0,12.0,5.0,26.0,18.0,0.69,0.0,0.0,0.0,0.0,,0.0,9.0,3.0,0,,1.0,110.0,109.6,120.6,114.6,,33,,2024,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joe Flacco,QB,39,8,6,162.0,248.0,1761.0,12.0,7.0,9.0,26.0,2.89,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0,,,99.0,99.0,113.0,106.0,,34,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mac Jones,QB,26,10,7,171.0,262.0,1672.0,8.0,8.0,28.0,92.0,3.29,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1,,1.0,96.0,96.1,109.1,104.1,,36,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gardner Minshew II,QB,28,10,9,203.0,306.0,2013.0,9.0,10.0,19.0,58.0,3.05,0.0,0.0,0.0,0.0,,0.0,6.0,4.0,0,,1.0,96.0,96.3,113.3,106.3,,35,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mason Rudolph,QB,29,8,5,146.0,228.0,1530.0,9.0,9.0,25.0,106.0,4.24,1.0,0.0,0.0,0.0,,0.0,5.0,1.0,1,,1.0,96.0,95.8,111.8,104.8,,37,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Aidan O'Connell,QB,26,9,7,154.0,243.0,1612.0,8.0,4.0,21.0,30.0,1.43,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1,,,93.0,93.5,102.5,97.5,,38,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Drew Lock,QB,28,8,5,107.0,181.0,1071.0,6.0,5.0,18.0,133.0,7.39,2.0,0.0,0.0,0.0,,0.0,5.0,2.0,2,,1.0,80.0,80.1,93.1,85.1,,39,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Deshaun Watson,QB,29,7,7,137.0,216.0,1148.0,5.0,3.0,31.0,148.0,4.77,1.0,0.0,0.0,0.0,,0.0,5.0,3.0,1,,1.0,77.0,76.7,88.7,79.7,,40,,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spencer Rattler,QB,24,7,6,130.0,228.0,1317.0,4.0,5.0,18.0,146.0,8.11,0.0,0.0,0.0,0.0,,0.0,5.0,3.0,0,,,67.0,67.3,81.3,72.3,,41,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Tyler Huntley,QB,26,5,5,86.0,133.0,829.0,3.0,3.0,26.0,135.0,5.19,2.0,0.0,0.0,0.0,,0.0,6.0,2.0,2,,,61.0,60.7,71.7,63.7,,42,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Andy Dalton,QB,37,6,5,106.0,160.0,989.0,7.0,6.0,11.0,34.0,3.09,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0,,,59.0,59.0,68.0,65.0,,43,,2024,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Malik Willis,QB,25,7,2,40.0,54.0,550.0,3.0,0.0,20.0,138.0,6.9,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1,,,52.0,51.8,58.8,51.8,,44,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcus Mariota,QB,31,3,0,34.0,44.0,364.0,4.0,0.0,18.0,92.0,5.11,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,,,46.0,45.8,48.8,45.8,,45,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Jacoby Brissett,QB,32,8,5,95.0,161.0,826.0,2.0,1.0,15.0,62.0,4.13,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,0,,1.0,45.0,45.2,50.2,46.2,,46,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Michael Penix,QB,24,5,3,61.0,105.0,775.0,3.0,3.0,7.0,11.0,1.57,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,1,,,44.0,44.1,50.1,47.1,,47,,2024,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joshua Dobbs,QB,29,2,1,32.0,47.0,361.0,2.0,2.0,9.0,24.0,2.67,2.0,0.0,0.0,0.0,,0.0,2.0,1.0,2,,,31.0,30.8,36.8,32.8,,48,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
