Unnamed: 0,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
47,46,CAR,Jonathon Brooks,RB,21,2024.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,3.0,23.0,0.0,,,,Texas,http://www.sports-reference.com/cfb/players/jonathon-brooks-1.html,23.0,,,,,,,,,,,,,,238.0,1479.0,6.2,16.0,64.3,28.0,335.0,12.0,2.0,14.6,266.0,1814.0,6.8,18.0
67,66,ARI,Trey Benson,RB,21,2024.0,0,0,0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,63.0,291.0,1.0,6.0,59.0,0.0,,,,Florida St.,http://www.sports-reference.com/cfb/players/trey-benson-2.html,36.0,,,,,,,,,,,,,,316.0,1918.0,6.1,24.0,53.3,33.0,371.0,11.2,1.0,10.3,349.0,2289.0,6.6,25.0
84,83,LAR,Blake Corum,RB,23,2024.0,0,0,0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,58.0,207.0,0.0,7.0,58.0,0.0,1.0,,,Michigan,http://www.sports-reference.com/cfb/players/blake-corum-1.html,45.0,,,,,,,,,,,,,,674.0,3737.0,5.5,58.0,83.0,56.0,411.0,7.3,3.0,9.1,730.0,4148.0,5.7,61.0
89,88,GNB,MarShawn Lloyd,RB,23,2024.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,1.0,3.0,0.0,,,,USC,http://www.sports-reference.com/cfb/players/marshawn-lloyd-1.html,32.0,,,,,,,,,,,,,,291.0,1621.0,5.6,19.0,50.7,34.0,452.0,13.3,2.0,14.1,325.0,2073.0,6.4,21.0
121,120,MIA,Jaylen Wright,RB,21,2024.0,0,0,0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,68.0,249.0,0.0,3.0,8.0,0.0,,,,Tennessee,http://www.sports-reference.com/cfb/players/jaylen-wright-1.html,34.0,,,,,,,,,,,,,,368.0,2297.0,6.2,18.0,67.6,30.0,171.0,5.7,0.0,5.0,398.0,2468.0,6.2,18.0
126,125,TAM,Bucky Irving,RB,22,2024.0,0,0,0,12.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,207.0,1122.0,8.0,47.0,392.0,0.0,,,,Oregon,http://www.sports-reference.com/cfb/players/markeise-irving-1.html,39.0,2.0,3.0,66.7,36.0,1.0,33.3,0.0,0.0,12.0,18.67,18.0,0.9,277.5,475.0,2937.0,6.2,20.0,75.3,95.0,785.0,8.3,5.0,20.1,570.0,3722.0,6.5,25.0
128,127,PHI,Will Shipley,RB,22,2024.0,0,0,0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,30.0,82.0,0.0,4.0,35.0,0.0,5.0,,,Clemson,http://www.sports-reference.com/cfb/players/will-shipley-1.html,36.0,1.0,1.0,100.0,2.0,1.0,100.0,0.0,0.0,2.0,22.0,2.0,0.1,446.8,526.0,2747.0,5.2,31.0,76.3,85.0,602.0,7.1,2.0,16.7,611.0,3349.0,5.5,33.0
129,128,BUF,Ray Davis,RB,24,2024.0,0,0,0,6.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,113.0,442.0,3.0,17.0,189.0,3.0,,,,Kentucky,http://www.sports-reference.com/cfb/players/remahn-davis-1.html,44.0,,,,,,,,,,,,,,746.0,3626.0,4.9,29.0,82.4,94.0,762.0,8.1,12.0,17.3,840.0,4388.0,5.2,41.0
130,129,SFO,Isaac Guerendo,RB,24,2024.0,0,0,0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,84.0,420.0,4.0,15.0,152.0,0.0,,,,Louisville,http://www.sports-reference.com/cfb/players/isaac-guerendo-1.html,41.0,,,,,,,,,,,,,,231.0,1392.0,6.0,17.0,34.0,42.0,358.0,8.5,1.0,8.7,273.0,1750.0,6.4,18.0
135,134,NYJ,Braelon Allen,RB,20,2024.0,0,0,0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,92.0,334.0,2.0,19.0,148.0,1.0,1.0,,,Wisconsin,http://www.sports-reference.com/cfb/players/braelon-allen-1.html,35.0,2.0,3.0,66.7,33.0,1.0,33.3,0.0,0.0,11.0,17.67,16.5,0.9,269.1,597.0,3494.0,5.9,35.0,99.8,49.0,275.0,5.6,0.0,7.9,646.0,3769.0,5.8,35.0
