Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
3,Jahmyr Gibbs,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,,311.0,362.9,369.9,336.9,153.0,3,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,1412.0,70.0,813.0,3.3,599.0,2.4,21.0,11.9,63.0,52.0,517.0,25.0,-76.0,-1.5,593.0,11.4,-0.2,4.0,13.0,2.0,3.2,1.0,115.4,"PB,AP OPoY-8",2024
6,Bijan Robinson,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1.0,,281.0,341.7,347.7,311.2,124.0,4,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,1456.0,82.0,728.0,2.4,728.0,2.4,23.0,13.2,72.0,61.0,431.0,20.0,-100.0,-1.6,531.0,8.7,-0.5,5.0,12.2,3.0,4.2,0.0,96.2,PB,2024
7,Josh Jacobs,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,16,,,257.0,293.1,302.1,275.1,102.0,5,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,1329.0,73.0,592.0,2.0,737.0,2.4,35.0,8.6,43.0,36.0,342.0,15.0,-61.0,-1.7,403.0,11.2,-1.0,13.0,2.8,0.0,0.0,1.0,97.9,"PB,AP OPoY-11",2024
10,Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,,238.0,272.1,281.1,255.1,84.0,6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,1299.0,85.0,693.0,2.2,606.0,1.9,27.0,11.7,40.0,34.0,182.0,6.0,-13.0,-0.4,195.0,5.7,-0.7,2.0,17.0,1.0,2.5,0.0,102.3,AP OPoY-11,2024
11,James Cook,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,,235.0,266.7,272.7,250.7,81.0,7,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,1009.0,48.0,530.0,2.6,479.0,2.3,14.0,14.8,38.0,32.0,258.0,14.0,-2.0,-0.1,260.0,8.1,0.9,0.0,,2.0,5.3,0.0,112.5,PB,2024
14,Jonathan Taylor,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,,227.0,244.7,251.7,235.7,74.0,8,14.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.0,1431.0,71.0,859.0,2.8,572.0,1.9,15.0,20.2,31.0,18.0,136.0,7.0,-14.0,-0.8,150.0,8.3,-0.3,2.0,9.0,3.0,9.7,1.0,66.1,"PB,AP CPoY-19",2024
17,De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,,222.0,299.9,305.9,260.9,69.0,9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,907.0,37.0,486.0,2.4,421.0,2.1,7.0,29.0,87.0,78.0,592.0,30.0,-73.0,-0.9,665.0,8.5,-0.4,5.0,15.6,2.0,2.3,0.0,118.0,,2024
21,James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2.0,,207.0,253.8,260.8,230.3,55.0,10,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,1094.0,67.0,528.0,2.2,566.0,2.4,24.0,9.8,55.0,47.0,414.0,17.0,-69.0,-1.5,483.0,10.3,-1.6,12.0,3.9,2.0,3.6,2.0,88.9,,2024
22,Joe Mixon,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,,205.0,240.5,246.5,222.5,53.0,11,22.0,,1.0,0.0,1.0,10.0,10.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,37.0,1.0,0.0,10.0,37.0,0.0,0.0,245.0,1016.0,52.0,549.0,2.2,467.0,1.9,19.0,12.9,52.0,36.0,309.0,12.0,-51.0,-1.4,360.0,10.0,-0.5,6.0,6.0,4.0,7.7,0.0,90.9,PB,2024
25,Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1.0,,201.0,255.0,262.0,228.0,49.0,12,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,990.0,49.0,599.0,2.6,391.0,1.7,23.0,10.0,65.0,54.0,360.0,23.0,34.0,0.6,326.0,6.0,0.8,2.0,27.0,2.0,3.1,0.0,110.3,,2024
27,Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1.0,,199.0,241.6,250.6,220.1,47.0,13,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,1195.0,62.0,656.0,2.6,539.0,2.2,14.0,17.9,54.0,43.0,171.0,10.0,-74.0,-1.7,245.0,5.7,-1.2,7.0,6.1,2.0,3.7,0.0,86.0,,2024
30,Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,,,197.0,244.4,251.4,220.9,46.0,14,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,1122.0,52.0,566.0,2.7,556.0,2.7,12.0,17.3,52.0,47.0,392.0,16.0,-136.0,-2.9,528.0,11.2,-2.7,6.0,7.8,1.0,1.9,0.0,98.1,AP ORoY-6,2024
31,Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,,,197.0,265.3,271.3,231.3,46.0,15,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,950.0,52.0,548.0,2.4,402.0,1.8,13.0,17.5,89.0,68.0,543.0,18.0,1.0,0.0,542.0,8.0,0.9,2.0,34.0,8.0,9.0,1.0,94.0,,2024
32,Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8.0,2,5,3,7,,,191.0,241.6,250.6,216.1,40.0,16,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,1138.0,49.0,614.0,2.4,524.0,2.1,11.0,23.2,62.0,51.0,408.0,20.0,-3.0,-0.1,411.0,8.1,0.9,1.0,51.0,2.0,3.2,1.0,98.1,,2024
34,David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,,186.0,221.7,228.7,203.7,35.0,17,34.0,,,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,,8.0,43.0,0.0,0.0,8.0,43.0,1.0,3.0,185.0,775.0,50.0,347.0,1.9,428.0,2.3,19.0,9.7,38.0,36.0,341.0,16.0,-24.0,-0.7,365.0,10.1,-0.5,11.0,3.3,0.0,0.0,0.0,104.1,,2024
36,Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2.0,,184.0,240.9,248.9,212.4,33.0,18,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,876.0,40.0,432.0,2.1,444.0,2.1,7.0,29.9,76.0,57.0,483.0,15.0,-13.0,-0.2,496.0,8.7,0.2,6.0,9.5,9.0,11.8,0.0,104.2,,2024
49,D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,6,52,42,386,9.19,0,2,0,6,1.0,,173.0,214.5,220.5,193.5,22.0,19,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,959.0,43.0,511.0,2.0,448.0,1.8,7.0,36.1,52.0,42.0,386.0,12.0,-19.0,-0.5,405.0,9.6,0.0,2.0,21.0,3.0,5.8,1.0,89.6,,2024
53,Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,6,48,36,283,7.86,0,0,0,6,,,169.0,204.6,210.6,186.6,19.0,20,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.0,1043.0,50.0,502.0,1.9,541.0,2.1,22.0,12.0,48.0,36.0,283.0,13.0,-46.0,-1.3,329.0,9.1,-1.5,7.0,5.1,4.0,8.3,0.0,89.1,,2024
62,J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,9,38,32,153,4.78,0,0,0,9,,,160.0,191.8,197.8,175.8,11.0,21,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,905.0,47.0,416.0,2.1,489.0,2.5,24.0,8.1,38.0,32.0,153.0,6.0,-51.0,-1.6,204.0,6.4,-1.2,1.0,32.0,2.0,5.3,0.0,83.4,AP CPoY-2,2024
63,Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,5,57,41,238,5.8,0,2,2,5,1.0,,160.0,200.7,208.7,180.2,10.0,22,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,1079.0,53.0,521.0,2.0,558.0,2.1,22.0,11.8,57.0,41.0,238.0,9.0,17.0,0.4,221.0,5.4,0.1,2.0,20.5,8.0,14.0,1.0,72.1,,2024
64,Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,2,49,39,249,6.38,3,3,2,5,,,159.0,197.8,205.8,178.3,10.0,23,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,1079.0,53.0,570.0,2.4,509.0,2.2,11.0,21.4,49.0,39.0,249.0,13.0,-23.0,-0.6,272.0,7.0,-0.1,3.0,13.0,2.0,4.1,0.0,108.2,,2024
89,Rachaad White,TAM,RB,25,16,15,0,0,0,0,0,144,613,4.26,3,57,51,393,7.71,6,3,3,9,,,149.0,199.6,208.6,174.1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,613.0,35.0,231.0,1.6,382.0,2.7,9.0,16.0,57.0,51.0,393.0,18.0,-123.0,-2.4,516.0,10.1,-1.9,3.0,17.0,0.0,0.0,0.0,130.5,,2024
90,Zach Charbonnet,SEA,RB,23,17,6,0,0,0,0,0,135,569,4.21,8,52,42,340,8.1,1,0,0,9,,,145.0,186.9,192.9,165.9,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,569.0,32.0,267.0,2.0,302.0,2.2,12.0,11.3,52.0,42.0,340.0,6.0,-37.0,-0.9,377.0,9.0,-0.9,0.0,,0.0,0.0,1.0,92.3,,2024
92,Tyrone Tracy Jr.,NYG,RB,25,17,12,0,0,0,0,0,192,839,4.37,5,53,38,284,7.47,1,5,2,6,,,144.0,182.3,190.3,163.3,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,839.0,39.0,511.0,2.7,328.0,1.7,6.0,32.0,53.0,38.0,284.0,13.0,3.0,0.1,281.0,7.4,0.3,6.0,6.3,5.0,9.4,1.0,82.6,,2024
93,Rhamondre Stevenson,NWE,RB,26,15,14,0,0,0,0,0,207,801,3.87,7,41,33,168,5.09,1,7,3,8,2.0,,143.0,175.9,184.9,159.4,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,801.0,40.0,370.0,1.8,431.0,2.1,14.0,14.8,41.0,33.0,168.0,8.0,-69.0,-2.1,237.0,7.2,-1.0,3.0,11.0,1.0,2.4,0.0,91.9,,2024
94,Brian Robinson Jr.,WAS,RB,25,14,13,0,0,0,0,0,187,799,4.27,8,25,20,159,7.95,0,2,2,8,,,140.0,159.8,167.8,149.8,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,799.0,47.0,378.0,2.0,421.0,2.3,10.0,18.7,25.0,20.0,159.0,4.0,-20.0,-1.0,179.0,9.0,-0.9,1.0,20.0,0.0,0.0,1.0,76.5,,2024
96,Kenneth Walker III,SEA,RB,24,11,11,0,0,0,0,0,153,573,3.75,7,53,46,299,6.5,1,1,0,8,,,135.0,181.2,187.2,158.2,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,573.0,28.0,263.0,1.7,310.0,2.0,13.0,11.8,53.0,46.0,299.0,19.0,-64.0,-1.4,363.0,7.9,-1.2,5.0,9.2,2.0,3.8,1.0,88.6,,2024
97,Kareem Hunt,KAN,RB,29,13,8,0,0,0,0,0,200,728,3.64,7,32,23,176,7.65,0,0,0,7,,,132.0,155.4,161.4,143.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,728.0,42.0,399.0,2.0,329.0,1.6,7.0,28.6,32.0,23.0,176.0,10.0,-40.0,-1.7,216.0,9.4,-1.9,4.0,5.8,0.0,0.0,0.0,84.9,,2024
105,Tank Bigsby,JAX,RB,23,16,1,0,0,0,0,0,168,766,4.56,7,12,7,54,7.71,0,4,1,7,,,122.0,129.0,133.0,125.5,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,766.0,39.0,295.0,1.8,471.0,2.8,14.0,12.0,12.0,7.0,54.0,1.0,-10.0,-1.4,64.0,9.1,-1.1,1.0,7.0,2.0,16.7,1.0,34.7,,2024
115,Javonte Williams,DEN,RB,24,17,11,0,0,0,0,0,139,513,3.69,4,70,52,346,6.65,0,2,2,4,,,106.0,157.9,165.9,131.9,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,513.0,30.0,258.0,1.9,255.0,1.8,4.0,34.8,70.0,52.0,346.0,14.0,-49.0,-0.9,395.0,7.6,-0.3,4.0,13.0,7.0,10.0,0.0,84.6,,2024
