Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
279,Andrew Beck,HOU,FB,27,15,12,0,0,0,0,0,5,3,0.6,1,13,11,55,5.0,2,1,1,4,,,28.0,38.8,39.8,33.3,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,2.0,0.4,1.0,0.2,0.0,,13.0,11.0,55.0,4.0,18.0,1.6,37.0,3.4,1.7,1.0,11.0,0.0,0.0,0.0,123.9,,2023
308,Kyle Juszczyk,SFO,FB,32,17,16,0,0,0,0,0,5,6,1.2,0,17,14,119,8.5,2,0,0,2,,,25.0,38.5,41.5,31.5,,83,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,2.0,4.0,0.8,2.0,0.4,0.0,,17.0,14.0,119.0,8.0,61.0,4.4,58.0,4.1,4.3,0.0,,0.0,0.0,0.0,135.0,"PB,AP-1",2023
386,Alec Ingold,MIA,FB,27,17,13,0,0,0,0,0,2,0,0.0,0,16,13,119,9.15,0,0,0,0,,,12.0,24.9,27.9,18.4,,96,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,13.0,119.0,5.0,28.0,2.2,91.0,7.0,1.9,0.0,,1.0,6.3,0.0,97.7,PB,2023
400,Patrick Ricard,BAL,FB,29,17,9,0,0,0,0,0,0,0,,0,7,5,52,10.4,1,0,0,1,,,11.0,16.2,16.2,13.7,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,52.0,3.0,17.0,3.4,35.0,7.0,2.7,0.0,,0.0,0.0,1.0,92.6,AP-2,2023
414,Nick Bawden,NYJ,FB,27,16,2,0,0,0,0,0,2,4,2.0,1,3,3,21,7.0,0,0,0,1,,,9.0,11.5,11.5,10.0,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,0.5,3.0,1.5,0.0,,3.0,3.0,21.0,1.0,-1.0,-0.3,22.0,7.3,-0.3,0.0,,0.0,0.0,0.0,95.8,,2023
453,Michael Burton,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1.0,,4.0,6.7,6.7,5.2,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,4.0,1.0,0.1,8.0,1.1,0.0,,3.0,3.0,8.0,2.0,2.0,0.7,6.0,2.0,0.7,0.0,,0.0,0.0,0.0,79.2,,2023
462,Khari Blasingame,CHI,FB,27,16,2,0,0,0,0,0,8,26,3.25,0,6,3,2,0.67,0,0,0,0,,,3.0,5.8,5.8,4.3,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,0.0,11.0,1.4,15.0,1.9,0.0,,6.0,3.0,2.0,0.0,-3.0,-1.0,5.0,1.7,1.8,0.0,,1.0,16.7,0.0,56.2,,2023
467,C.J. Ham,MIN,FB,30,17,5,0,0,0,0,0,1,7,7.0,0,9,7,25,3.57,0,0,0,0,,,3.0,10.2,10.2,6.7,,120,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,5.0,5.0,2.0,2.0,0.0,,9.0,7.0,25.0,1.0,5.0,0.7,20.0,2.9,1.1,1.0,7.0,1.0,11.1,1.0,39.6,PB,2023
475,Keith Smith,ATL,FB,31,13,6,0,0,0,0,0,0,0,,0,3,3,33,11.0,0,0,0,0,,,3.0,6.3,6.3,4.8,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,33.0,1.0,18.0,6.0,15.0,5.0,6.0,0.0,,0.0,0.0,0.0,112.5,,2023
511,Jakob Johnson,LVR,FB,29,13,5,0,0,0,0,0,0,0,,0,2,1,12,12.0,0,0,0,0,,,1.0,2.2,2.2,1.7,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,12.0,0.0,2.0,2.0,10.0,10.0,3.0,0.0,,1.0,50.0,0.0,68.7,,2023
