,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
51,50,NWE,Tyquan Thornton,WR,21,2024,0,0,1,3,3,28,0,0,0,0,0,6,67,1,39,385,2,2,,,Baylor,http://www.sports-reference.com/cfb/players/tyquan-thornton-1.html,47.0,143.0,2242.0,15.7,19.0,47.7,3.0,-9.0,-3.0,0.0,-0.2,146.0,2233.0,15.3,19.0,1.0,1.0,100.0,6.0,1.0,100.0,0.0,0.0,6.0,26.0,6.0,0.1,480.4
53,52,PIT,George Pickens,WR,21,2024,0,0,3,24,24,48,0,0,0,0,0,8,36,1,174,2841,12,1,,,Georgia,http://www.sports-reference.com/cfb/players/george-pickens-1.html,26.0,90.0,1347.0,15.0,14.0,51.8,0.0,0.0,,0.0,0.0,90.0,1347.0,15.0,14.0,,,,,,,,,,,,,
54,53,IND,Alec Pierce,WR,22,2024,0,0,3,15,15,49,0,0,0,0,0,0,0,0,110,1931,11,,,,Cincinnati,http://www.sports-reference.com/cfb/players/alec-pierce-2.html,45.0,106.0,1851.0,17.5,12.0,41.1,0.0,0.0,,0.0,0.0,106.0,1851.0,17.5,12.0,,,,,,,,,,,,,
55,54,KAN,Skyy Moore,WR,21,2024,0,0,0,4,4,36,0,0,0,0,0,6,47,0,43,494,1,1,,,Western Michigan,http://www.sports-reference.com/cfb/players/skyy-moore-1.html,30.0,171.0,2482.0,14.5,15.0,82.7,3.0,12.0,4.0,1.0,0.4,174.0,2494.0,14.3,16.0,,,,,,,,,,,,,
56,55,ARI,Trey McBride,TE,22,2024,0,1,3,20,20,49,0,0,0,0,0,1,2,1,221,2236,6,7,,,Colorado St.,http://www.sports-reference.com/cfb/players/trey-mcbride-1.html,40.0,164.0,2100.0,12.8,10.0,52.5,3.0,72.0,24.0,1.0,1.8,167.0,2172.0,13.0,11.0,,,,,,,,,,,,,
64,63,BUF,James Cook,RB,22,2024,0,2,2,28,28,49,0,0,0,0,0,533,2638,20,97,883,7,1,,,Georgia,http://www.sports-reference.com/cfb/players/james-cook-2.html,50.0,67.0,730.0,10.9,6.0,14.6,230.0,1503.0,6.5,14.0,30.1,297.0,2233.0,7.5,20.0,,,,,,,,,,,,,
72,71,CHI,Velus Jones Jr.,WR,25,2024,0,0,0,3,3,29,0,0,0,0,0,20,165,1,12,135,1,1,,,Tennessee,http://www.sports-reference.com/cfb/players/velus-jones-jr-1.html,62.0,120.0,1434.0,12.0,11.0,23.1,15.0,59.0,3.9,1.0,1.0,135.0,1493.0,11.1,12.0,,,,,,,,,,,,,
74,73,IND,Jelani Woods,TE,23,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,25,312,3,1,,,Virginia,http://www.sports-reference.com/cfb/players/jelani-woods-1.html,45.0,75.0,959.0,12.8,12.0,21.3,2.0,6.0,3.0,0.0,0.1,77.0,965.0,12.5,12.0,,,,,,,,,,,,,
75,74,ATL,Desmond Ridder,QB,23,2024,0,0,1,13,12,25,374,588,4002,16,14,78,293,5,1,-6,0,,,,Cincinnati,http://www.sports-reference.com/cfb/players/desmond-ridder-1.html,50.0,2.0,8.0,4.0,2.0,0.2,502.0,2179.0,4.3,28.0,43.6,504.0,2187.0,4.3,30.0,810.0,1304.0,62.1,10239.0,87.0,6.7,28.0,2.1,7.9,8.22,12.6,204.8,145.8
81,80,DEN,Greg Dulcich,TE,22,2024,0,0,0,3,3,21,0,0,0,0,0,0,0,0,41,464,2,,,,UCLA,http://www.sports-reference.com/cfb/players/greg-dulcich-1.html,33.0,77.0,1353.0,17.6,11.0,41.0,0.0,0.0,,0.0,0.0,77.0,1353.0,17.6,11.0,,,,,,,,,,,,,
