Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
496,Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,,0,3,1,16,16.0,0,0,0,0,,,2.0,2.6,2.6,2.1,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,16.0,1.0,16.0,16.0,0.0,0.0,12.0,0.0,,1.0,33.3,0.0,52.1,,2023
504,D'Wayne Eskridge,SEA,WR,26,4,0,0,0,0,0,0,2,5,2.5,0,1,0,0,,0,0,0,0,,,1.0,0.5,0.5,0.5,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,5.0,2.5,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,,17.0,0.0,,0.0,0.0,0.0,39.6,,2023
510,Collin Johnson,CHI,WR,26,3,0,0,0,0,0,0,0,0,,0,1,1,11,11.0,0,0,0,0,,,1.0,2.1,2.1,1.6,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,11.0,1.0,7.0,7.0,4.0,4.0,7.0,0.0,,0.0,0.0,0.0,112.5,,2023
512,Mason Kinsey,TEN,WR,25,6,0,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,0,0,0,,,1.0,1.6,1.6,1.1,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,6.0,0.0,-2.0,-2.0,8.0,8.0,-2.0,0.0,,0.0,0.0,0.0,91.7,,2023
519,Willie Snead,SFO,WR,31,4,0,0,0,0,0,0,0,0,,0,3,2,14,7.0,0,0,0,0,,,1.0,3.4,3.4,2.4,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,14.0,0.0,11.0,5.5,3.0,1.5,6.0,0.0,,0.0,0.0,0.0,77.1,,2023
520,Malik Taylor,NYJ,WR,28,3,0,0,0,0,0,0,0,0,,0,4,2,13,6.5,0,0,0,0,,,1.0,3.3,3.3,2.3,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,13.0,0.0,6.0,3.0,7.0,3.5,22.3,0.0,,0.0,0.0,0.0,57.3,,2023
521,Cody Thompson,SEA,WR,27,7,0,0,0,0,0,0,0,0,,0,1,1,10,10.0,0,0,0,0,,,1.0,2.0,2.0,1.5,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,10.0,0.0,6.0,6.0,4.0,4.0,6.0,0.0,,0.0,0.0,0.0,108.3,,2023
522,Austin Trammell,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,7,4,29,7.25,0,3,1,0,,,1.0,4.9,5.9,2.9,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,29.0,2.0,-6.0,-1.5,35.0,8.8,3.6,0.0,,0.0,0.0,1.0,27.4,,2023
524,Devon Allen,PHI,WR,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
526,Andre Baccellia,ARI,WR,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
527,Michael Bandy,DEN,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
530,Chris Blair,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
533,Terrell Bynum,LAC,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
534,Damiere Byrd,ATL,WR,30,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,0.0,,22.5,0.0,,0.0,0.0,1.0,0.0,,2023
536,Marquez Callaway,NOR,WR,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
538,Irvin Charles,NYJ,WR,26,12,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,0.0,,9.0,0.0,,0.0,0.0,0.0,39.6,,2023
540,Dan Chisena,2TM,WR,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
545,Frank Darby,ATL,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
546,Jaelon Darden,CLE,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0.0,0.0,0.0,0.0,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
