Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Malik Taylor,WR,25,15,1,0,0,0,0,0,1,9,9.0,0,6,5,66,13.2,1,0.0,0,1,,,14.0,18.5,18.5,16.0,,158,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DeMichael Harris,WR,22,7,0,0,0,0,0,0,6,46,7.67,0,10,10,79,7.9,0,0.0,0,0,,,13.0,22.5,22.5,17.5,,160,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ty Montgomery,WR,27,6,1,0,0,0,0,0,19,101,5.32,0,6,3,27,9.0,0,0.0,0,0,,,13.0,15.8,18.8,14.3,,159,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Chris Hogan,WR,33,5,4,0,0,0,0,0,0,0,,0,26,14,118,8.43,0,0.0,0,0,,,12.0,25.8,28.8,18.8,,162,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ray-Ray McCloud,WR,24,16,2,0,0,0,0,0,4,65,16.25,0,22,20,77,3.85,0,2.0,1,0,,,12.0,32.2,33.2,22.2,,161,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dante Pettis,WR,25,7,1,0,0,0,0,0,0,0,,0,6,4,76,19.0,1,1.0,1,1,,,12.0,15.6,16.6,13.6,,163,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alex Erickson,WR,28,16,2,0,1,0,0,0,5,7,1.4,0,17,12,139,11.58,0,2.0,2,0,,,11.0,22.6,27.6,16.6,,165,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lil'Jordan Humphrey,WR,22,3,1,0,0,0,0,0,0,0,,0,5,3,46,15.33,1,0.0,0,1,,,11.0,13.6,13.6,12.1,,166,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Diontae Spencer,WR,28,11,0,0,0,0,0,0,3,19,6.33,0,6,3,26,8.67,0,2.0,0,1,,,11.0,13.5,13.5,12.0,,167,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Javon Wims,WR,26,13,1,0,0,0,0,0,1,2,2.0,0,12,6,48,8.0,1,0.0,0,1,,,11.0,17.0,17.0,14.0,,164,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
