Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
5,Ja'Marr Chase,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276.0,403.0,406.0,339.5,138.0,1,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,32.0,2.0,30.0,10.0,2.0,0.7,0.0,,175.0,127.0,1708.0,75.0,921.0,7.3,787.0,6.2,8.7,11.0,11.5,9.0,5.1,7.0,118.9,"PB,AP-1,AP MVP-8,AP OPoY-3",2024
12,Justin Jefferson,MIN,WR,25,17,17,1,1,22,0,0,1,3,3.0,0,154,103,1533,14.88,10,1,0,10,,,214.0,317.5,320.5,266.0,80.0,2,12.0,1.0,1.0,1.0,1.0,-5.0,-5.0,-5.0,-5.0,-5.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,25.0,1.0,22.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,,154.0,103.0,1533.0,62.0,1046.0,10.2,487.0,4.7,10.9,5.0,20.6,5.0,3.2,5.0,107.4,"PB,AP-1,AP OPoY-7",2024
18,Amon-Ra St. Brown,DET,WR,25,17,17,1,1,7,1,0,2,6,3.0,0,141,115,1263,10.98,12,1,1,12,,,201.0,316.2,320.2,258.7,67.0,3,18.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,2.0,2.0,1.0,0.0,,141.0,115.0,1263.0,73.0,851.0,7.4,412.0,3.6,7.7,3.0,38.3,4.0,2.8,1.0,129.4,"PB,AP-1,AP OPoY-11",2024
19,Brian Thomas,JAX,WR,22,17,16,0,0,0,0,0,6,48,8.0,0,133,87,1282,14.74,10,0,0,10,2.0,,197.0,284.0,287.0,240.5,63.0,4,19.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,48.0,3.0,38.0,6.3,10.0,1.7,0.0,,133.0,87.0,1282.0,53.0,720.0,8.3,562.0,6.5,11.4,0.0,,7.0,5.3,5.0,106.2,"PB,AP ORoY-4",2024
23,Terry McLaurin,WAS,WR,29,17,17,0,0,0,0,0,2,2,1.0,0,117,82,1096,13.37,13,1,1,13,,,186.0,267.8,271.8,226.8,53.0,5,23.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,117.0,82.0,1096.0,56.0,804.0,9.8,292.0,3.6,13.4,2.0,41.0,4.0,3.4,1.0,133.0,"PB,AP-2",2024
26,Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3.0,0,158,100,1271,12.71,9,0,0,9,,,181.0,280.8,283.8,230.8,48.0,6,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,,158.0,100.0,1271.0,67.0,944.0,9.4,327.0,3.3,10.9,6.0,16.7,5.0,3.2,8.0,86.2,,2024
35,Mike Evans,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166.0,240.4,243.4,203.4,35.0,7,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,74.0,1004.0,53.0,778.0,10.5,226.0,3.1,11.6,2.0,37.0,4.0,3.6,5.0,110.6,PB,2024
37,Malik Nabers,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,7,1.0,,165.0,273.6,276.6,219.1,33.0,8,37.0,,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,3.7,1.0,1.0,0.0,1.0,100.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,-4.0,-0.8,6.0,1.2,0.0,,170.0,109.0,1204.0,55.0,742.0,6.8,462.0,4.2,9.1,8.0,13.6,9.0,5.3,2.0,93.8,"PB,AP ORoY-5",2024
40,CeeDee Lamb,DAL,WR,25,15,15,0,0,0,0,0,14,70,5.0,0,152,101,1194,11.82,6,1,1,6,1.0,,162.0,263.4,267.4,212.9,31.0,9,40.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,70.0,4.0,37.0,2.6,33.0,2.4,1.0,14.0,152.0,101.0,1194.0,54.0,657.0,6.5,537.0,5.3,7.6,11.0,9.2,7.0,4.6,6.0,86.9,"PB,AP-2",2024
42,Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159.0,240.3,244.3,199.8,28.0,10,42.0,,,2.0,2.0,19.0,9.5,19.0,9.5,9.5,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,135.0,81.0,1081.0,57.0,902.0,11.1,179.0,2.2,13.2,1.0,81.0,9.0,6.7,6.0,86.7,,2024
