Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
D'Andre Swift,RB,22,13,4,0.0,1.0,0.0,0.0,0.0,151.0,617.0,4.09,5.0,78.0,62.0,452.0,7.29,2.0,2.0,1.0,7,,,147.0,208.9,215.9,177.9,1.0,23,74.0,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elijah Mitchell,RB,23,11,10,0.0,0.0,0.0,0.0,0.0,207.0,963.0,4.65,5.0,20.0,19.0,137.0,7.21,1.0,0.0,0.0,6,,,146.0,165.0,171.0,155.5,,24,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
James Robinson,RB,23,14,13,0.0,0.0,0.0,0.0,0.0,164.0,767.0,4.68,8.0,46.0,31.0,222.0,7.16,0.0,4.0,2.0,8,,,143.0,173.9,181.9,158.4,,25,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darrell Henderson,RB,24,12,10,0.0,0.0,0.0,0.0,0.0,149.0,688.0,4.62,5.0,40.0,29.0,176.0,6.07,3.0,0.0,0.0,8,,,134.0,163.4,169.4,148.9,,26,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Myles Gaskin,RB,24,17,10,0.0,0.0,0.0,0.0,0.0,173.0,612.0,3.54,3.0,63.0,49.0,234.0,4.78,4.0,2.0,1.0,7,,,125.0,173.6,180.6,149.1,,28,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sony Michel,RB,26,17,7,0.0,0.0,0.0,0.0,0.0,208.0,845.0,4.06,4.0,33.0,21.0,128.0,6.1,1.0,1.0,1.0,5,,,125.0,146.3,153.3,135.8,,27,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tony Pollard,RB,24,15,0,0.0,0.0,0.0,0.0,0.0,130.0,719.0,5.53,2.0,46.0,39.0,337.0,8.64,0.0,2.0,0.0,3,,,124.0,162.6,168.6,143.1,,29,,2021,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Carter,RB,22,14,11,0.0,0.0,0.0,0.0,0.0,147.0,639.0,4.35,4.0,55.0,36.0,325.0,9.03,0.0,1.0,1.0,4,,,118.0,154.4,161.4,136.4,,30,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Rashaad Penny,RB,25,10,6,0.0,0.0,0.0,0.0,0.0,119.0,749.0,6.29,6.0,8.0,6.0,48.0,8.0,0.0,0.0,0.0,6,,,116.0,121.7,124.7,118.7,,31,,2021,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Devonta Freeman,RB,29,16,8,0.0,0.0,0.0,0.0,0.0,133.0,576.0,4.33,5.0,42.0,34.0,190.0,5.59,1.0,0.0,0.0,6,,,113.0,146.6,152.6,129.6,,32,,2021,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chuba Hubbard,RB,22,17,10,0.0,0.0,0.0,0.0,0.0,172.0,612.0,3.56,5.0,37.0,25.0,174.0,6.96,1.0,1.0,1.0,6,,,113.0,137.6,144.6,125.1,,33,,2021,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
