,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
2,1,CHI,Caleb Williams,QB,22,2024,0,0,1,12,12,17,351,562,3541,20,6,81,489,0,0,0,0,,,,USC,http://www.sports-reference.com/cfb/players/caleb-williams-3.html,37.0,735.0,1099.0,66.9,10082.0,93.0,8.5,14.0,1.3,9.2,10.29,13.7,272.5,169.3,289.0,966.0,3.3,27.0,26.1,1.0,13.0,13.0,0.0,0.4,290.0,979.0,3.4,27.0
3,2,WAS,Jayden Daniels,QB,23,2024,0,1,1,20,20,17,331,480,3568,25,9,148,891,6,0,0,0,,,,LSU,http://www.sports-reference.com/cfb/players/jayden-daniels-1.html,55.0,953.0,1438.0,66.3,12749.0,89.0,6.2,20.0,1.4,8.9,9.48,13.4,231.8,158.4,617.0,3307.0,5.4,34.0,60.1,1.0,5.0,5.0,1.0,0.1,618.0,3312.0,5.4,35.0
4,3,NWE,Drake Maye,QB,22,2024,0,1,1,8,8,13,225,338,2276,15,10,54,421,2,0,0,0,,,,North Carolina,http://www.sports-reference.com/cfb/players/drake-maye-1.html,30.0,618.0,952.0,64.9,8018.0,63.0,6.6,16.0,1.7,8.4,8.99,13.0,267.3,154.1,302.0,1209.0,4.0,16.0,40.3,0.0,0.0,,0.0,0.0,302.0,1209.0,4.0,16.0
5,4,ARI,Marvin Harrison Jr.,WR,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,62,885,8,,,,Ohio St.,http://www.sports-reference.com/cfb/players/marvin-harrison-jr-1.html,38.0,,,,,,,,,,,,,,4.0,58.0,14.5,1.0,1.5,155.0,2613.0,16.9,31.0,68.8,159.0,2671.0,16.8,32.0
7,6,NYG,Malik Nabers,WR,21,2024,0,1,1,9,9,15,0,1,0,0,0,5,2,0,109,1204,7,,,,LSU,http://www.sports-reference.com/cfb/players/malik-nabers-1.html,38.0,2.0,2.0,100.0,50.0,1.0,50.0,0.0,0.0,25.0,35.0,25.0,1.3,475.0,6.0,29.0,4.8,0.0,0.8,189.0,3003.0,15.9,21.0,79.0,195.0,3032.0,15.5,21.0
9,8,ATL,Michael Penix,QB,24,2024,0,0,0,2,2,5,61,105,775,3,3,7,11,1,0,0,0,,,,Washington,http://www.sports-reference.com/cfb/players/michael-penix-jr-1.html,48.0,1067.0,1685.0,63.3,13741.0,96.0,5.7,34.0,2.0,8.2,8.39,12.9,286.3,146.6,134.0,265.0,2.0,13.0,5.5,0.0,-39.0,,0.0,-0.8,134.0,226.0,1.7,13.0
10,9,CHI,Rome Odunze,WR,22,2024,0,0,1,6,6,17,0,0,0,0,0,3,15,0,54,734,3,,,,Washington,http://www.sports-reference.com/cfb/players/rome-odunze-1.html,40.0,,,,,,,,,,,,,,10.0,40.0,4.0,2.0,1.0,214.0,3272.0,15.3,24.0,81.8,224.0,3312.0,14.8,26.0
11,10,MIN,J.J. McCarthy,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,http://www.sports-reference.com/cfb/players/jj-mccarthy-1.html,40.0,482.0,713.0,67.6,6226.0,49.0,6.9,11.0,1.5,8.7,9.41,12.9,155.7,160.5,161.0,632.0,3.9,10.0,15.8,0.0,0.0,,0.0,0.0,161.0,632.0,3.9,10.0
13,12,DEN,Bo Nix,QB,24,2024,0,0,1,13,13,17,376,567,3775,29,12,92,430,4,1,2,1,,,,Oregon,http://www.sports-reference.com/cfb/players/bo-nix-1.html,61.0,1286.0,1936.0,66.4,15351.0,113.0,5.8,26.0,1.3,7.9,8.49,11.9,251.7,149.6,405.0,1613.0,4.0,38.0,26.4,2.0,36.0,18.0,1.0,0.6,407.0,1649.0,4.1,39.0
14,13,LVR,Brock Bowers,TE,21,2024,1,1,1,9,9,17,0,0,0,0,0,5,13,0,112,1194,5,,,,Georgia,http://www.sports-reference.com/cfb/players/brock-bowers-1.html,40.0,,,,,,,,,,,,,,19.0,193.0,10.2,5.0,4.8,175.0,2538.0,14.5,26.0,63.5,194.0,2731.0,14.1,31.0
