Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Dare Ogunbowale,RB,26,14,2,0,0,0,0,0,32,145,4.53,0,20,10,54,5.4,0,0.0,0,0,,,20.0,29.9,32.9,24.9,,96,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Antonio Williams,RB,23,1,0,0,0,0,0,0,12,63,5.25,2,1,1,20,20.0,0,0.0,0,2,,,20.0,21.3,21.3,20.8,,94,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
D'Ernest Johnson,RB,24,16,0,0,0,0,0,0,33,166,5.03,0,4,3,14,4.67,0,1.0,0,0,,,18.0,21.0,24.0,19.5,,98,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ke'Shawn Vaughn,RB,23,10,0,0,0,0,0,0,26,109,4.19,0,10,5,34,6.8,1,1.0,1,1,,,18.0,23.3,27.3,20.8,,97,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anthony McFarland Jr.,RB,22,11,0,0,0,0,0,0,33,113,3.42,0,9,6,54,9.0,0,0.0,0,0,,,17.0,22.7,25.7,19.7,,101,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Trayveon Williams,RB,23,10,0,0,0,0,0,0,26,157,6.04,0,5,5,30,6.0,0,1.0,1,0,,,17.0,21.7,25.7,19.2,,102,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Corey Clement,RB,26,15,0,0,0,0,0,0,21,75,3.57,1,6,5,25,5.0,0,0.0,0,1,,,16.0,21.0,21.0,18.5,,103,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
D'Onta Foreman,RB,24,6,0,0,0,0,0,0,22,95,4.32,0,1,1,5,5.0,1,0.0,0,1,,,16.0,17.0,17.0,16.5,,104,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Reggie Bonnafon,RB,24,2,0,0,0,0,0,0,12,69,5.75,0,2,2,18,9.0,1,0.0,0,1,,,15.0,16.7,16.7,15.7,,108,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyler Ervin,RB,27,8,0,0,0,0,0,0,13,67,5.15,0,15,11,84,7.64,0,0.0,0,0,,,15.0,26.1,26.1,20.6,,107,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
