,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
77,Brandon Johnson,1.9,52.607799489356736,159,95,-64
68,Nelson Agholor,49.1,51.5723738951189,99,96,-3
116,Mack Hollins,98.8,51.03858837425304,70,97,27
83,Cedrick Wilson Jr.,49.9,50.88221426381955,98,98,0
121,Cedric Tillman,80.4,49.99170069212351,77,99,22
94,Brandon Powell,14.1,48.72713236534311,130,100,-30
104,Skyy Moore,0.0,48.09818513240796,165,101,-64
138,Terrace Marshall Jr.,7.1,46.81979787982206,143,102,-41
89,Greg Dortch,90.3,45.875294742625016,72,103,31
93,Trenton Irwin,4.5,45.79683883082477,151,104,-47
111,Allen Robinson,6.0,42.283467912509074,147,105,-42
123,Jalen Reagor,14.7,39.72648356466832,125,106,-19
97,Jalen Tolbert,152.0,38.96052031387122,40,107,67
125,Van Jefferson,63.6,37.29391586194197,89,108,19
92,Xavier Gipson,14.4,36.48062639562812,127,109,-18
120,KhaDarel Hodge,32.1,32.26390179043756,111,110,-1
106,Braxton Berrios,0.0,31.946153752480086,165,111,-54
113,Kadarius Toney,-2.4,31.461321030452645,185,112,-73
122,Parker Washington,97.0,31.05318579567814,71,113,42
90,Isaiah Hodgins,3.2,30.952637241839348,155,114,-41
127,Robbie Chosen,1.5,28.7357579448908,162,115,-47
140,Tyquan Thornton,8.7,28.48586628584397,140,116,-24
142,Mecole Hardman,33.2,28.459676741976814,109,117,8
134,David Moore,85.1,27.14699920135341,75,118,43
129,Tyler Scott,1.5,25.887450515171338,162,119,-43
133,John Metchie,55.4,25.78690844400984,95,120,25
98,Calvin Austin III,118.8,25.66105315571177,61,121,60
130,River Cracraft,13.6,24.13088771853031,131,122,-9
101,David Bell,5.7,23.42439517726622,149,123,-26
119,Dyami Brown,67.4,22.83250908561326,84,124,40
91,Jake Bobo,29.7,22.686078773051634,113,125,12
132,Ray-Ray McCloud,140.5,22.579903059724103,44,126,82
128,Malik Heath,31.7,21.832873850322464,112,127,15
112,Olamide Zaccheaus,112.4,20.881090551141767,62,128,66
143,Parris Campbell,15.0,18.55732590187489,124,129,5
115,Deonte Harty,0.0,18.157341548235962,165,130,-35
146,Chris Conley,13.6,17.692589541670046,131,131,0
110,Scott Miller,11.9,17.103381890985162,134,132,-2
102,Lil'Jordan Humphrey,64.3,16.95137578965621,87,133,46
126,Jamison Crowder,26.2,16.607734944475524,114,134,20
154,Equanimeous St. Brown,0.0,15.353497691236,165,135,-30
151,Jalen Brooks,35.7,14.373979808579989,107,136,29
136,Xavier Hutchinson,23.7,12.973853090891893,115,137,22
82,KaVontae Turpin,104.2,12.808941738164535,67,138,71
99,Andrei Iosivas,119.9,12.634099352583164,60,139,79
161,Steven Sims,-2.0,12.042711754312421,184,140,-44
153,Rakim Jarrett,21.4,12.030794850376978,118,141,23
162,Kayshon Boutte,121.9,11.659910292363136,56,142,86
135,Trent Sherfield,22.3,10.026015688861364,117,143,26
155,Justyn Ross,0.0,9.92381821836456,165,144,-21
141,Laviska Shenault Jr.,10.7,9.520221603139376,137,145,8
160,Jalen Nailor,103.0,8.797186013057441,68,146,78
144,Sterling Shepard,80.3,8.216350063538968,78,147,69
145,Tim Jones,7.1,7.781865984528636,143,148,5
137,Charlie Jones,5.5,7.762463253332086,150,149,-1
131,Deven Thompkins,6.7,7.1924732172359285,145,150,5
148,Tyler Johnson,61.1,7.090737086050467,92,151,59
165,Laquon Treadwell,0.0,3.6939791850438013,165,152,-13
114,Ronnie Bell,4.2,3.3283423542479653,152,153,1
156,Elijah Cooks,0.0,3.084982425127066,165,154,-11
164,Zach Pascal,0.0,2.916749420684667,165,155,-10
139,Ben Skowronek,11.9,2.564516713994877,134,156,22
124,Derius Davis,40.1,1.5954500806686127,102,157,55
167,Collin Johnson,1.6,0.3792198688110773,160,158,-2
117,Ihmir Smith-Marsette,6.0,-0.26940071358259843,147,159,12
157,Britain Covey,10.4,-0.926730350926519,138,160,22
152,DeAndre Carter,14.2,-1.2261183401555087,128,161,33
158,Devin Duvernay,19.2,-1.4498657692451928,119,162,43
170,Austin Trammell,4.0,-2.407966161746728,153,163,10
159,Trishton Jackson,0.0,-2.7760248473449707,165,164,-1
149,Velus Jones Jr.,0.9,-3.180675967437921,164,165,1
163,Erik Ezukanma,0.0,-3.509813344029098,165,166,1
183,James Proche,3.1,-3.509813344029098,156,166,10
169,Cody Thompson,0.0,-5.36850025619826,165,168,3
150,Tylan Wallace,36.3,-5.45030965300235,106,169,63
147,Simi Fehoko,16.6,-5.6846251114898365,122,170,48
166,D'Wayne Eskridge,7.4,-6.260859930464633,142,171,29
168,Mason Kinsey,3.7,-6.540956100894874,154,172,18
184,Trent Taylor,2.1,-7.717296358577542,158,173,15
173,Irvin Charles,0.0,-8.094890988088295,165,174,9
171,Chris Blair,2.7,-9.01190651690014,157,175,18
172,Marquez Callaway,0.0,-9.01190651690014,165,175,10
175,Jaelon Darden,1.6,-9.01190651690014,160,175,15
174,Dan Chisena,6.7,-9.01190651690014,145,175,30
178,Ryan Miller,36.8,-9.01190651690014,105,175,70
176,Dez Fitzpatrick,0.0,-9.01190651690014,165,175,10
179,DJ Turner,47.1,-9.01190651690014,100,175,75
180,Montrell Washington,0.0,-9.01190651690014,165,175,10
181,Kristian Wilkerson,9.8,-9.01190651690014,139,175,36
177,Tay Martin,11.9,-9.01190651690014,134,175,41
182,Dareke Young,0.0,-9.01190651690014,165,175,10
