Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Luke Schoonmaker,TE,26,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,27.0,241.0,8.93,1.0,0.0,0.0,1,,,30.0,57.1,60.1,43.6,,46,,2024,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elijah Higgins,TE,24,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,20.0,172.0,8.6,2.0,0.0,0.0,2,,,29.0,49.2,52.2,39.2,,48,,2024,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Johnny Mundt,TE,30,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,27.0,19.0,142.0,7.47,2.0,0.0,0.0,2,,,26.0,45.2,48.2,35.7,,49,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Darnell Washington,TE,23,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25.0,19.0,200.0,10.53,1.0,0.0,0.0,1,,,26.0,45.0,48.0,35.5,,50,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Payne Durham,TE,24,16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,11.0,115.0,10.45,2.0,1.0,0.0,2,,,24.0,34.5,37.5,29.0,,51,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Brock Wright,TE,26,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,13.0,100.0,7.69,2.0,0.0,0.0,2,,,22.0,35.0,38.0,28.5,,52,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mo Alie-Cox,TE,31,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,12.0,147.0,12.25,1.0,0.0,0.0,1,,,21.0,32.7,35.7,26.7,,53,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tanner Hudson,TE,30,11,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,23.0,19.0,154.0,8.11,1.0,1.0,1.0,1,,,20.0,38.5,42.5,29.0,,54,,2024,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyler Higbee,TE,31,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,8.0,66.0,8.25,2.0,0.0,0.0,2,,,19.0,26.6,26.6,22.6,,58,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Charlie Kolar,TE,25,13,3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,11.0,9.0,131.0,14.56,1.0,0.0,0.0,1,,,19.0,28.3,31.3,23.8,,55,,2024,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
