,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
392,Jameis Winston,NOR,QB,29,7,0,25,47,264,2,3,5,-6,-1.20,0,0,0,0,N/A,0,0,0,0,N/A,N/A,12,12.0,15.0,15.0,N/A,61,N/A,2023
393,Raheem Blackshear,CAR,RB,24,12,0,0,0,0,0,0,14,46,3.29,0,7,6,45,7.50,0,0,0,0,1,N/A,11,17.1,17.1,14.1,N/A,99,N/A,2023
394,Brandon Bolden,LVR,RB,33,17,0,0,0,0,0,0,4,31,7.75,1,0,0,0,N/A,0,0,0,1,1,N/A,11,11.1,11.1,11.1,N/A,100,N/A,2023
395,Tim Boyle,NYJ,QB,29,3,2,48,77,360,1,4,4,5,1.25,0,0,0,0,N/A,0,2,0,0,N/A,N/A,11,10.9,17.9,14.9,N/A,63,N/A,2023
396,Chris Brooks,MIA,RB,23,9,0,0,0,0,0,0,19,106,5.58,0,0,0,0,N/A,0,0,0,0,N/A,N/A,11,10.6,13.6,10.6,N/A,103,N/A,2023
397,Mecole Hardman,2TM,WR,25,11,2,0,0,0,0,0,1,3,3.00,0,24,15,124,8.27,0,1,1,0,N/A,N/A,11,25.7,29.7,18.2,N/A,160,N/A,2023
398,La'Mical Perine,KAN,RB,25,3,1,0,0,0,0,0,22,77,3.50,0,5,3,33,11.00,0,0,0,0,N/A,N/A,11,14.0,14.0,12.5,N/A,101,N/A,2023
399,Patrick Ricard,BAL,FB,29,17,9,0,0,0,0,0,0,0,N/A,0,7,5,52,10.40,1,0,0,1,N/A,N/A,11,16.2,16.2,13.7,N/A,98,N/A,2023
400,Robert Tonyan,CHI,TE,29,17,6,0,0,0,0,0,0,0,N/A,0,17,11,112,10.18,0,0,0,0,N/A,N/A,11,22.2,25.2,16.7,N/A,76,N/A,2023
401,Emanuel Wilson,GNB,RB,24,7,0,0,0,0,0,0,14,85,6.07,0,5,4,23,5.75,0,1,0,0,N/A,N/A,11,14.8,14.8,12.8,N/A,102,N/A,2023
402,Lawrence Cager,NYG,TE,26,11,0,0,0,0,0,0,0,0,N/A,0,5,4,36,9.00,1,0,0,1,N/A,N/A,10,13.6,13.6,11.6,N/A,77,N/A,2023
403,Parris Campbell,NYG,WR,26,12,3,0,0,0,0,0,0,0,N/A,0,27,20,104,5.20,0,0,0,0,N/A,N/A,10,30.4,33.4,20.4,N/A,161,N/A,2023
404,J.K. Dobbins,BAL,RB,25,1,1,0,0,0,0,0,8,22,2.75,1,3,2,15,7.50,0,0,0,1,N/A,N/A,10,11.7,11.7,10.7,N/A,105,N/A,2023
405,Marquise Goodwin,CLE,WR,33,12,0,0,0,0,0,0,4,33,8.25,0,13,4,67,16.75,0,0,0,0,N/A,N/A,10,14.0,14.0,12.0,N/A,163,N/A,2023
406,Keaontay Ingram,ARI,RB,24,8,1,0,0,0,0,0,35,74,2.11,0,4,4,26,6.50,0,0,0,0,N/A,N/A,10,14.0,14.0,12.0,N/A,104,N/A,2023
407,Case Keenum,HOU,QB,35,2,2,34,53,291,1,3,2,1,0.50,0,0,0,0,N/A,0,1,0,0,N/A,N/A,10,9.7,12.7,12.7,N/A,64,N/A,2023
408,Keith Kirkwood,NOR,WR,29,13,4,0,0,0,0,0,0,0,N/A,0,9,5,37,7.40,1,0,0,1,N/A,N/A,10,14.7,14.7,12.2,N/A,164,N/A,2023
409,Hunter Luepke,DAL,RB,23,17,0,0,0,0,0,0,6,19,3.17,1,4,3,18,6.00,0,0,0,1,N/A,N/A,10,12.7,12.7,11.2,N/A,106,N/A,2023
410,Sterling Shepard,NYG,WR,30,15,2,0,0,0,0,0,1,6,6.00,0,22,10,57,5.70,1,1,1,1,N/A,N/A,10,20.3,21.3,15.3,N/A,162,N/A,2023
411,Brenton Strange,JAX,TE,23,14,4,0,0,0,0,0,0,0,N/A,0,9,5,35,7.00,1,0,0,1,N/A,N/A,10,14.5,14.5,12.0,N/A,78,N/A,2023
412,Israel Abanikanda,NYJ,RB,21,6,0,0,0,0,0,0,22,70,3.18,0,11,7,43,6.14,0,1,1,0,N/A,N/A,9,16.3,17.3,12.8,N/A,107,N/A,2023
413,Nick Bawden,NYJ,FB,27,16,2,0,0,0,0,0,2,4,2.00,1,3,3,21,7.00,0,0,0,1,N/A,N/A,9,11.5,11.5,10.0,N/A,108,N/A,2023
414,Richie James,KAN,WR,28,9,1,0,0,0,0,0,0,0,N/A,0,14,10,114,11.40,0,2,1,0,N/A,N/A,9,19.4,23.4,14.4,N/A,165,N/A,2023
415,Marcedes Lewis,CHI,TE,39,17,4,0,0,0,0,0,0,0,N/A,0,5,4,29,7.25,1,0,0,1,N/A,N/A,9,12.9,12.9,10.9,N/A,80,N/A,2023
416,Quintin Morris,BUF,TE,24,15,0,0,0,0,0,0,0,0,N/A,0,3,2,26,13.00,1,0,0,1,N/A,N/A,9,10.6,10.6,9.6,N/A,81,N/A,2023
417,Geoff Swaim,ARI,TE,30,14,8,0,0,0,0,0,0,0,N/A,0,11,10,94,9.40,0,0,0,0,N/A,N/A,9,19.4,19.4,14.4,N/A,79,N/A,2023
418,Brycen Hopkins,LAR,TE,26,15,0,0,0,0,0,0,0,0,N/A,0,7,5,78,15.60,0,0,0,0,N/A,N/A,8,12.8,12.8,10.3,N/A,83,N/A,2023
419,Tim Jones,JAX,WR,25,17,2,0,0,0,0,0,0,0,N/A,0,18,11,83,7.55,0,0,0,0,N/A,N/A,8,19.3,19.3,13.8,N/A,166,N/A,2023
420,Dare Ogunbowale,HOU,RB,29,12,0,0,0,0,0,0,8,35,4.38,0,7,2,18,9.00,0,0,0,0,N/A,N/A,8,10.3,10.3,9.3,N/A,109,N/A,2023
421,Ben Sims,GNB,TE,23,17,1,0,0,0,0,0,0,0,N/A,0,6,4,21,5.25,1,0,0,1,N/A,N/A,8,12.1,12.1,10.1,N/A,82,N/A,2023
422,Samori Toure,GNB,WR,25,11,0,0,0,0,0,0,0,0,N/A,0,18,8,78,9.75,0,1,1,0,1,N/A,8,15.8,16.8,11.8,N/A,167,N/A,2023
423,Deuce Vaughn,DAL,RB,22,7,0,0,0,0,0,0,23,40,1.74,0,7,7,40,5.71,0,0,0,0,N/A,N/A,8,15.0,15.0,11.5,N/A,110,N/A,2023
424,Trayveon Williams,CIN,RB,26,17,0,0,0,0,0,0,15,69,4.60,0,9,7,10,1.43,0,0,0,0,N/A,N/A,8,14.9,14.9,11.4,N/A,111,N/A,2023
425,Blake Bell,KAN,TE,32,17,3,0,0,0,0,0,0,0,N/A,0,9,5,26,5.20,1,1,1,1,N/A,N/A,7,11.6,12.6,9.1,N/A,84,N/A,2023
426,Gary Brightwell,NYG,RB,24,7,0,0,0,0,0,0,9,19,2.11,0,7,5,47,9.40,0,0,0,0,N/A,N/A,7,11.6,11.6,9.1,N/A,113,N/A,2023
427,Chris Conley,SFO,WR,31,8,0,0,0,0,0,0,0,0,N/A,0,6,3,69,23.00,0,0,0,0,N/A,N/A,7,9.9,9.9,8.4,N/A,170,N/A,2023
428,Josiah Deguara,GNB,TE,26,15,4,0,0,0,0,0,0,0,N/A,0,8,8,65,8.13,0,0,0,0,N/A,N/A,7,14.5,14.5,10.5,N/A,85,N/A,2023
429,Simi Fehoko,LAC,WR,26,6,0,0,0,0,0,0,0,0,N/A,0,2,1,9,9.00,1,0,0,1,N/A,N/A,7,7.9,7.9,7.4,N/A,171,N/A,2023
430,Eric Gray,NYG,RB,24,13,0,0,0,0,0,0,17,48,2.82,0,7,6,22,3.67,0,3,0,0,N/A,N/A,7,13.0,13.0,10.0,N/A,112,N/A,2023
431,Tyler Johnson,LAR,WR,25,1,0,0,0,0,0,0,0,0,N/A,0,3,2,8,4.00,1,0,0,1,N/A,N/A,7,8.8,8.8,7.8,N/A,172,N/A,2023
432,Velus Jones Jr.,CHI,WR,26,14,0,0,0,0,0,0,8,51,6.38,0,7,4,20,5.00,0,0,0,0,N/A,N/A,7,11.1,11.1,9.1,N/A,168,N/A,2023
433,Clayton Tune,ARI,QB,24,7,1,12,21,62,0,2,8,30,3.75,1,0,0,0,N/A,0,2,1,1,1,N/A,7,7.5,10.5,9.5,N/A,65,N/A,2023
434,Tylan Wallace,BAL,WR,24,11,0,0,0,0,0,0,0,0,N/A,0,2,1,11,11.00,0,0,0,1,N/A,N/A,7,8.1,8.1,7.6,N/A,169,N/A,2023
435,Jalen Brooks,DAL,WR,23,7,0,0,0,0,0,0,0,0,N/A,0,6,6,64,10.67,0,0,0,0,N/A,N/A,6,12.4,12.4,9.4,N/A,173,N/A,2023
436,DeAndre Carter,LVR,WR,30,17,1,0,0,0,0,0,3,18,6.00,0,7,4,39,9.75,0,2,0,0,N/A,N/A,6,9.7,9.7,7.7,N/A,176,N/A,2023
437,Payne Durham,TAM,TE,23,13,2,0,0,0,0,0,0,0,N/A,0,7,5,58,11.60,0,0,0,0,N/A,N/A,6,10.8,10.8,8.3,N/A,88,N/A,2023
438,Blaine Gabbert,KAN,QB,34,2,1,18,35,185,0,3,7,45,6.43,0,0,0,0,N/A,0,0,0,0,N/A,N/A,6,5.9,8.9,8.9,N/A,66,N/A,2023
439,Rakim Jarrett,TAM,WR,22,10,0,0,0,0,0,0,1,0,0.00,0,9,4,60,15.00,0,0,0,0,N/A,N/A,6,10.0,10.0,8.0,N/A,175,N/A,2023
440,Ko Kieft,TAM,TE,25,16,6,0,0,0,0,0,0,0,N/A,0,5,1,2,2.00,1,0,0,1,N/A,N/A,6,7.2,7.2,6.7,N/A,86,N/A,2023
441,Isaiah McKenzie,IND,WR,28,13,2,0,0,0,0,0,3,14,4.67,0,14,11,82,7.45,0,3,2,0,N/A,N/A,6,16.6,18.6,11.1,N/A,177,N/A,2023
442,Equanimeous St. Brown,CHI,WR,27,7,2,0,0,0,0,0,0,0,N/A,0,6,5,62,12.40,0,0,0,0,N/A,N/A,6,11.2,11.2,8.7,N/A,174,N/A,2023
443,Ian Thomas,CAR,TE,27,12,5,0,0,0,0,0,0,0,N/A,0,9,5,56,11.20,0,0,0,0,N/A,N/A,6,10.6,10.6,8.1,N/A,89,N/A,2023
444,Darnell Washington,PIT,TE,22,17,7,0,0,0,0,0,0,0,N/A,0,10,7,61,8.71,0,0,0,0,N/A,N/A,6,13.1,13.1,9.6,N/A,87,N/A,2023
445,Mitchell Wilcox,CIN,TE,27,17,4,0,0,0,0,0,0,0,N/A,0,12,9,56,6.22,0,0,0,0,N/A,N/A,6,14.6,14.6,10.1,N/A,90,N/A,2023
446,Damien Williams,ARI,RB,31,3,0,0,0,0,0,0,11,43,3.91,0,2,2,12,6.00,0,0,0,0,N/A,N/A,6,7.5,7.5,6.5,N/A,114,N/A,2023
447,Brian Hoyer,LVR,QB,38,3,1,23,42,231,0,2,3,-3,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,5,4.9,6.9,6.9,N/A,67,N/A,2023
448,Ty Montgomery,NWE,WR,30,13,0,0,0,0,0,0,3,9,3.00,0,12,5,40,8.00,0,0,0,0,N/A,N/A,5,9.9,9.9,7.4,N/A,179,N/A,2023
449,Justyn Ross,KAN,WR,24,10,1,0,0,0,0,0,0,0,N/A,0,11,6,53,8.83,0,0,0,0,N/A,N/A,5,11.3,11.3,8.3,N/A,178,N/A,2023
450,Brett Rypien,LAR,QB,27,2,1,18,38,172,0,1,3,19,6.33,0,0,0,0,N/A,0,2,1,0,N/A,N/A,5,4.8,6.8,5.8,N/A,68,N/A,2023
451,Mike Strachan,CAR,WR,26,4,1,0,0,0,0,0,0,0,N/A,0,3,1,45,45.00,0,0,0,0,N/A,N/A,5,5.5,5.5,5.0,N/A,180,N/A,2023
452,Michael Burton,DEN,FB,31,17,3,0,0,0,0,0,7,9,1.29,0,3,3,8,2.67,0,0,0,0,1,N/A,4,6.7,6.7,5.2,N/A,118,N/A,2023
453,Grant Calcaterra,PHI,TE,25,15,1,0,0,0,0,0,0,0,N/A,0,4,4,39,9.75,0,0,0,0,N/A,N/A,4,7.9,7.9,5.9,N/A,91,N/A,2023
454,Elijah Cooks,JAX,WR,25,9,0,0,0,0,0,0,0,0,N/A,0,4,3,38,12.67,0,0,0,0,N/A,N/A,4,6.8,6.8,5.3,N/A,182,N/A,2023
455,Britain Covey,PHI,WR,26,16,0,0,0,0,0,0,0,0,N/A,0,6,4,42,10.50,0,2,0,0,N/A,N/A,4,8.2,8.2,6.2,N/A,181,N/A,2023
456,Leonard Fournette,BUF,RB,28,2,0,0,0,0,0,0,12,40,3.33,0,0,0,0,N/A,0,0,0,0,N/A,N/A,4,4.0,4.0,4.0,N/A,116,N/A,2023
457,Peyton Hendershot,DAL,TE,24,8,1,0,0,0,0,0,1,0,0.00,0,7,4,38,9.50,0,0,0,0,N/A,N/A,4,7.8,7.8,5.8,N/A,92,N/A,2023
458,Rashaad Penny,PHI,RB,27,3,0,0,0,0,0,0,11,33,3.00,0,1,1,5,5.00,0,0,0,0,N/A,N/A,4,4.8,4.8,4.3,N/A,117,N/A,2023
