,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
477,Charlie Woerner,SFO,TE,26,17,2,0,0,0,0,0,0,0,N/A,0,3,3,32,10.67,0,0,0,0,N/A,N/A,3,6.2,6.2,4.7,N/A,95,N/A,2023
478,Kenny Yeboah,NYJ,TE,25,5,1,0,0,0,0,0,0,0,N/A,0,4,2,28,14.00,0,0,0,0,N/A,N/A,3,4.8,4.8,3.8,N/A,98,N/A,2023
479,Nate Adkins,DEN,TE,24,10,1,0,0,0,0,0,0,0,N/A,0,5,4,22,5.50,0,0,0,0,N/A,N/A,2,6.2,6.2,4.2,N/A,100,N/A,2023
480,Kayshon Boutte,NWE,WR,21,5,0,0,0,0,0,0,0,0,N/A,0,7,2,19,9.50,0,0,0,0,N/A,N/A,2,3.9,3.9,2.9,N/A,190,N/A,2023
481,Miles Boykin,PIT,WR,27,17,0,0,0,0,0,0,0,0,N/A,0,4,3,17,5.67,0,0,0,0,N/A,N/A,2,4.7,4.7,3.2,N/A,192,N/A,2023
482,DeeJay Dallas,SEA,RB,25,17,0,0,0,0,0,0,10,36,3.60,0,9,6,26,4.33,0,2,2,0,N/A,N/A,2,8.2,10.2,5.2,N/A,124,N/A,2023
483,Tyrion Davis-Price,SFO,RB,23,1,0,0,0,0,0,0,6,21,3.50,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,2.1,2.1,2.1,N/A,126,N/A,2023
484,Elijah Dotson,LAC,RB,24,4,0,0,0,0,0,0,4,6,1.50,0,2,2,13,6.50,0,0,0,0,N/A,N/A,2,3.9,3.9,2.9,N/A,128,N/A,2023
485,Zach Evans,LAR,RB,22,10,0,0,0,0,0,0,9,19,2.11,0,0,0,0,N/A,0,0,0,0,N/A,N/A,2,1.9,1.9,1.9,N/A,129,N/A,2023
486,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.40,0,1,0,0,N/A,0,0,0,0,N/A,N/A,2,2.2,2.2,2.2,N/A,188,N/A,2023
487,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5.00,0,1,1,12,12.00,0,0,0,0,N/A,N/A,2,3.2,3.2,2.7,N/A,125,N/A,2023
488,Jaren Hall,MIN,QB,25,3,2,13,20,168,0,1,6,14,2.33,0,0,0,0,N/A,0,2,2,0,N/A,N/A,2,2.1,5.1,3.1,N/A,71,N/A,2023
489,Marvin Jones,DET,WR,33,6,4,0,0,0,0,0,0,0,N/A,0,10,5,35,7.00,0,1,1,0,N/A,N/A,2,6.5,7.5,4.0,N/A,194,N/A,2023
490,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8.00,0,0,0,0,N/A,N/A,2,3.1,3.1,2.6,N/A,127,N/A,2023
491,Chris Manhertz,DEN,TE,31,16,4,0,0,0,0,0,0,0,N/A,0,4,2,16,8.00,0,0,0,0,N/A,N/A,2,3.6,3.6,2.6,N/A,103,N/A,2023
492,Nick Muse,MIN,TE,25,2,0,0,0,0,0,0,0,0,N/A,0,1,1,22,22.00,0,0,0,0,N/A,N/A,2,3.2,3.2,2.7,N/A,101,N/A,2023
493,Gunner Olszewski,2TM,WR,27,12,0,0,0,0,0,0,0,0,N/A,0,1,1,0,0.00,0,4,2,1,N/A,N/A,2,3.0,5.0,2.5,N/A,189,N/A,2023
494,Zach Pascal,ARI,WR,29,14,1,0,0,0,0,0,0,0,N/A,0,15,4,19,4.75,0,0,0,0,N/A,N/A,2,5.9,5.9,3.9,N/A,191,N/A,2023
495,Laquon Treadwell,BAL,WR,28,5,1,0,0,0,0,0,0,0,N/A,0,3,1,16,16.00,0,0,0,0,N/A,N/A,2,2.6,2.6,2.1,N/A,193,N/A,2023
496,Trevon Wesco,TEN,TE,28,15,10,0,0,0,0,0,0,0,N/A,0,3,1,21,21.00,0,0,0,0,N/A,N/A,2,3.1,3.1,2.6,N/A,102,N/A,2023
497,Mike White,MIA,QB,28,6,0,5,6,74,1,1,8,-9,-1.13,0,0,0,0,N/A,0,1,1,0,N/A,N/A,2,2.1,4.1,3.1,N/A,72,N/A,2023
498,Alex Armah,WAS,RB,29,8,0,0,0,0,0,0,0,0,N/A,0,3,3,13,4.33,0,0,0,0,N/A,N/A,1,4.3,4.3,2.8,N/A,130,N/A,2023
499,Sean Clifford,GNB,QB,25,2,0,1,1,37,0,0,3,-2,-0.67,0,0,0,0,N/A,0,1,0,0,N/A,N/A,1,1.3,1.3,1.3,N/A,73,N/A,2023
500,Jashaun Corbin,NYG,RB,23,6,0,0,0,0,0,0,1,1,1.00,0,3,3,12,4.00,0,0,0,0,N/A,N/A,1,4.3,4.3,2.8,N/A,131,N/A,2023
501,Kenyan Drake,2TM,RB,29,3,0,0,0,0,0,0,2,0,0.00,0,3,2,31,15.50,0,1,1,0,N/A,N/A,1,3.1,4.1,2.1,N/A,135,N/A,2023
502,Ross Dwelley,SFO,TE,28,12,0,0,0,0,0,0,0,0,N/A,0,2,1,12,12.00,0,0,0,0,N/A,N/A,1,2.2,2.2,1.7,N/A,104,N/A,2023
503,D'Wayne Eskridge,SEA,WR,26,4,0,0,0,0,0,0,2,5,2.50,0,1,0,0,N/A,0,0,0,0,N/A,N/A,1,0.5,0.5,0.5,N/A,201,N/A,2023
504,Chris Evans,CIN,RB,26,8,0,0,0,0,0,0,2,12,6.00,0,1,1,-1,-1.00,0,0,0,0,N/A,N/A,1,2.1,2.1,1.6,N/A,136,N/A,2023
505,Tucker Fisk,ATL,TE,24,6,2,0,0,0,0,0,0,0,N/A,0,1,1,9,9.00,0,0,0,0,N/A,N/A,1,1.9,1.9,1.4,N/A,107,N/A,2023
506,John FitzPatrick,ATL,TE,23,9,0,0,0,0,0,0,0,0,N/A,0,1,1,12,12.00,0,0,0,0,N/A,N/A,1,2.2,2.2,1.7,N/A,105,N/A,2023
507,Cole Fotheringham,LVR,TE,26,2,0,0,0,0,0,0,0,0,N/A,0,1,1,6,6.00,0,0,0,0,N/A,N/A,1,1.6,1.6,1.1,N/A,108,N/A,2023
508,Evan Hull,IND,RB,23,1,0,0,0,0,0,0,1,1,1.00,0,1,1,6,6.00,0,0,0,0,N/A,N/A,1,1.7,1.7,1.2,N/A,139,N/A,2023
509,Collin Johnson,CHI,WR,26,3,0,0,0,0,0,0,0,0,N/A,0,1,1,11,11.00,0,0,0,0,N/A,N/A,1,2.1,2.1,1.6,N/A,197,N/A,2023
510,Jakob Johnson,LVR,FB,29,13,5,0,0,0,0,0,0,0,N/A,0,2,1,12,12.00,0,0,0,0,N/A,N/A,1,2.2,2.2,1.7,N/A,134,N/A,2023
511,Mason Kinsey,TEN,WR,25,6,0,0,0,0,0,0,0,0,N/A,0,1,1,6,6.00,0,0,0,0,N/A,N/A,1,1.6,1.6,1.1,N/A,200,N/A,2023
512,A.J. McCarron,CIN,QB,33,2,0,4,5,19,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,0.8,0.8,0.8,N/A,74,N/A,2023
513,Anthony McFarland Jr.,PIT,RB,25,3,0,0,0,0,0,0,0,0,N/A,0,2,2,11,5.50,0,0,0,0,N/A,N/A,1,3.1,3.1,2.1,N/A,137,N/A,2023
514,Kene Nwangwu,MIN,RB,25,9,0,0,0,0,0,0,5,13,2.60,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,1.3,1.3,1.3,N/A,132,N/A,2023
515,Devine Ozigbo,DET,RB,27,3,0,0,0,0,0,0,3,5,1.67,0,1,1,8,8.00,0,0,0,0,N/A,N/A,1,2.3,2.3,1.8,N/A,133,N/A,2023
516,Kevin Rader,TEN,TE,28,14,0,0,0,0,0,0,0,0,N/A,0,3,1,6,6.00,0,0,0,0,N/A,N/A,1,1.6,1.6,1.1,N/A,109,N/A,2023
517,Eric Saubert,2TM,TE,29,10,1,0,0,0,0,0,0,0,N/A,0,3,3,12,4.00,0,0,0,0,N/A,N/A,1,4.2,4.2,2.7,N/A,106,N/A,2023
518,Willie Snead,SFO,WR,31,4,0,0,0,0,0,0,0,0,N/A,0,3,2,14,7.00,0,0,0,0,N/A,N/A,1,3.4,3.4,2.4,N/A,195,N/A,2023
519,Malik Taylor,NYJ,WR,28,3,0,0,0,0,0,0,0,0,N/A,0,4,2,13,6.50,0,0,0,0,N/A,N/A,1,3.3,3.3,2.3,N/A,196,N/A,2023
520,Cody Thompson,SEA,WR,27,7,0,0,0,0,0,0,0,0,N/A,0,1,1,10,10.00,0,0,0,0,N/A,N/A,1,2.0,2.0,1.5,N/A,198,N/A,2023
521,Austin Trammell,LAR,WR,25,16,0,0,0,0,0,0,0,0,N/A,0,7,4,29,7.25,0,3,1,0,N/A,N/A,1,4.9,5.9,2.9,N/A,199,N/A,2023
522,Jonathan Ward,TEN,RB,26,7,0,0,0,0,0,0,3,11,3.67,0,0,0,0,N/A,0,0,0,0,N/A,N/A,1,1.1,1.1,1.1,N/A,138,N/A,2023
523,Devon Allen,PHI,WR,29,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,205,N/A,2023
524,Stephen Anderson,LAC,TE,30,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112,N/A,2023
525,Andre Baccellia,ARI,WR,26,5,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,206,N/A,2023
526,Michael Bandy,DEN,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,207,N/A,2023
527,Matt Barkley,JAX,QB,33,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,-0.3,-0.3,-0.3,N/A,80,N/A,2023
528,Nick Bellore*,SEA,FB,34,16,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143,N/A,2023
529,Chris Blair,ATL,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,208,N/A,2023
530,Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,-0.2,-0.2,-0.2,N/A,79,N/A,2023
531,Matt Bushman,KAN,TE,28,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,113,N/A,2023
532,Terrell Bynum,LAC,WR,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,209,N/A,2023
533,Damiere Byrd,ATL,WR,30,1,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,210,N/A,2023
534,Jason Cabinda,DET,FB,27,4,0,0,0,0,0,0,1,0,0.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144,N/A,2023
535,Marquez Callaway,NOR,WR,25,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,211,N/A,2023
536,Stephen Carlson,CHI,TE,27,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114,N/A,2023
537,Irvin Charles,NYJ,WR,26,12,0,0,0,0,0,0,0,0,N/A,0,1,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212,N/A,2023
538,Julius Chestnut,TEN,RB,23,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,145,N/A,2023
539,Dan Chisena,2TM,WR,26,4,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,213,N/A,2023
540,Corey Clement,ARI,RB,29,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,146,N/A,2023
541,Tanner Conner,MIA,TE,25,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,N/A,2023
542,Malik Cunningham,2TM,QB,25,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,N/A,2023
543,Darrell Daniels,DET,TE,29,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,116,N/A,2023
544,Frank Darby,ATL,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,214,N/A,2023
545,Jaelon Darden,CLE,WR,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,215,N/A,2023
546,Malik Davis,DAL,RB,25,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,147,N/A,2023
547,Phillip Dorsett,DEN,WR,30,2,1,0,0,0,0,0,0,0,N/A,0,3,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,216,N/A,2023
548,Colton Dowell,TEN,WR,24,10,1,0,0,0,0,0,0,0,N/A,0,2,1,3,3.00,0,0,0,0,N/A,N/A,N/A,1.3,1.3,0.8,N/A,202,N/A,2023
549,Dylan Drummond,DET,WR,23,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,N/A,2023
550,Sam Ehlinger,IND,QB,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,N/A,2023
551,Princeton Fant,DAL,TE,24,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117,N/A,2023
552,Ethan Fernea,IND,WR,25,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,218,N/A,2023
553,Anthony Firkser,DET,TE,28,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118,N/A,2023
554,Dez Fitzpatrick,PIT,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,219,N/A,2023
555,Myles Gaskin,2TM,RB,26,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,148,N/A,2023
556,Zach Gentry,LVR,TE,27,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,119,N/A,2023
557,Reggie Gilliam,BUF,FB,26,17,0,0,0,0,0,0,0,0,N/A,0,1,1,3,3.00,0,0,0,0,N/A,N/A,N/A,1.3,1.3,0.8,N/A,141,N/A,2023
558,Antoine Green,DET,WR,24,9,0,0,0,0,0,0,0,0,N/A,0,2,1,2,2.00,0,0,0,0,N/A,N/A,N/A,1.2,1.2,0.7,N/A,203,N/A,2023
559,Jacob Harris,JAX,WR,26,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220,N/A,2023
560,N'Keal Harry,MIN,WR,26,9,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,221,N/A,2023
561,Jamycal Hasty,2TM,RB,27,5,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149,N/A,2023
562,Parker Hesse,ATL,TE,28,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,N/A,2023
563,J.P. Holtz,NOR,TE,30,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,121,N/A,2023
564,Travis Homer,CHI,RB,25,16,0,0,0,0,0,0,0,0,N/A,0,1,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,2023
565,Jesper Horsted,LVR,TE,26,13,0,0,0,0,0,0,0,0,N/A,0,1,1,4,4.00,0,0,0,0,N/A,N/A,N/A,1.4,1.4,0.9,N/A,110,N/A,2023
566,Mohamed Ibrahim,DET,RB,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151,N/A,2023
567,Godwin Igwebuike,2TM,RB,29,12,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152,N/A,2023
568,Andy Isabella,BUF,WR,27,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,222,N/A,2023
569,Kearis Jackson,TEN,WR,24,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,223,N/A,2023
570,Lucky Jackson,MIN,WR,26,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,224,N/A,2023
571,Shedrick Jackson,CIN,WR,24,5,0,0,0,0,0,0,0,0,N/A,0,1,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,225,N/A,2023
572,Tyree Jackson,NYG,TE,26,2,1,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,122,N/A,2023
573,Johnny Johnson,HOU,WR,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,226,N/A,2023
574,Hunter Kampmoyer,LAC,TE,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123,N/A,2023
575,Dalton Keene,HOU,TE,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,124,N/A,2023
576,Tyler Kroft,MIA,TE,31,8,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,125,N/A,2023
577,Zack Kuntz,NYJ,TE,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,126,N/A,2023
578,Kwamie Lassiter II,CIN,WR,25,1,0,0,0,0,0,0,0,0,N/A,0,1,1,2,2.00,0,0,0,0,N/A,N/A,N/A,1.2,1.2,0.7,N/A,204,N/A,2023
579,Hunter Long,LAR,TE,25,4,1,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,N/A,2023
580,Tay Martin,SFO,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,227,N/A,2023
581,Ben Mason,BAL,FB,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,153,N/A,2023
582,Jordan Matthews,CAR,TE,31,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128,N/A,2023
583,Kenny McIntosh,SEA,RB,23,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,N/A,2023
584,Sean McKeon,DAL,TE,26,9,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129,N/A,2023
585,Tre' McKitty,LAC,TE,24,6,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,130,N/A,2023
586,Jeremy McNichols,SFO,RB,28,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,155,N/A,2023
587,Kirk Merritt,NOR,WR,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228,N/A,2023
588,Ryan Miller,TAM,WR,23,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,229,N/A,2023
589,Jordan Mims,NOR,RB,24,2,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,156,N/A,2023
590,Stanley Morgan Jr.,CIN,WR,27,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,230,N/A,2023
591,Albert Okwuegbunam,PHI,TE,25,4,0,0,0,0,0,0,0,0,N/A,0,1,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131,N/A,2023
592,Qadree Ollison,PIT,RB,27,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,N/A,2023
593,Henry Pearson,GNB,FB,24,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,158,N/A,2023
594,Josh Pederson,JAX,TE,26,3,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,132,N/A,2023
595,Nathan Peterman,CHI,QB,29,2,0,0,0,0,0,0,2,-4,-2.00,0,0,0,0,N/A,0,1,0,0,N/A,N/A,N/A,-0.4,-0.4,-0.4,N/A,82,N/A,2023
596,Adam Prentice,NOR,FB,26,13,1,0,0,0,0,0,2,12,6.00,0,3,2,12,6.00,0,1,1,0,N/A,N/A,N/A,2.4,3.4,1.4,N/A,140,N/A,2023
597,Deneric Prince,KAN,RB,23,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,N/A,2023
598,Giovanni Ricci,CAR,FB,27,5,0,0,0,0,0,0,0,0,N/A,0,1,1,2,2.00,0,0,0,0,N/A,N/A,N/A,1.2,1.2,0.7,N/A,142,N/A,2023
599,James Robinson,GNB,RB,25,1,0,0,0,0,0,0,1,2,2.00,0,1,1,-2,-2.00,0,0,0,0,N/A,N/A,N/A,1.0,1.0,0.5,N/A,160,N/A,2023
600,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77,N/A,2023
601,Amari Rodgers,IND,WR,24,3,0,0,0,0,0,0,0,0,N/A,0,2,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,231,N/A,2023
602,Brady Russell,SEA,TE,25,15,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,133,N/A,2023
603,David Sills,DEN,WR,27,3,1,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232,N/A,2023
604,Matthew Slater,NWE,WR,38,16,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233,N/A,2023
605,Tre'Quan Smith,DEN,WR,27,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234,N/A,2023
606,Matt Sokol,NWE,TE,28,3,1,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134,N/A,2023
607,SaRodorick Thompson,SEA,RB,24,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,161,N/A,2023
608,Mitchell Tinsley,WAS,WR,24,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235,N/A,2023
609,Noah Togiai,PHI,TE,26,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135,N/A,2023
610,Kyle Trask,TAM,QB,25,2,0,0,1,0,0,0,1,-1,-1.00,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,-0.1,-0.1,-0.1,N/A,78,N/A,2023
611,DJ Turner,LVR,WR,26,10,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236,N/A,2023
612,Xazavian Valladay,NYJ,RB,25,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,N/A,2023
613,Nick Vannett,LAC,TE,30,8,5,0,0,0,0,0,0,0,N/A,0,1,1,3,3.00,0,0,0,0,N/A,N/A,N/A,1.3,1.3,0.8,N/A,111,N/A,2023
614,Travis Vokolek,ARI,TE,25,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,136,N/A,2023
615,Dwayne Washington,DEN,RB,29,13,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,163,N/A,2023
616,Montrell Washington,KAN,WR,24,6,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,2,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237,N/A,2023
617,Blake Whiteheart,ARI,TE,23,2,0,0,0,0,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,137,N/A,2023
