,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_year_id,Coll_pos,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_awards,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
47,46,CAR,Jonathon Brooks,RB,21,2024,0,0,0,0,0,3,0,0,0,0,0,9,22,0,3,23,0,,,,Texas,http://www.sports-reference.com/cfb/players/jonathon-brooks-1.html,Career,,23,,,,,,,,,,,,,,,238,1479,6.2,16,64.3,28,335,12.0,2,14.6,266,1814,6.8,18
53,52,IND,Adonai Mitchell,WR,21,2024,0,0,1,3,3,17,1,1,24,0,0,4,6,0,23,312,0,,,,Texas,http://www.sports-reference.com/cfb/players/adonai-mitchell-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,53,WAS,Ben Sinnott,TE,22,2024,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,28,1,2,,,Kansas St.,http://www.sports-reference.com/cfb/players/ben-sinnott-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,65,NYJ,Malachi Corley,WR,22,2024,0,0,0,0,0,9,0,0,0,0,0,2,26,0,3,16,0,,,,Western Kentucky,http://www.sports-reference.com/cfb/players/malachi-corley-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,66,ARI,Trey Benson,RB,21,2024,0,0,0,2,2,13,0,0,0,0,0,63,291,1,6,59,0,,,,Florida St.,http://www.sports-reference.com/cfb/players/trey-benson-2.html,Career,,36,,,,,,,,,,,,,,,316,1918,6.1,24,53.3,33,371,11.2,1,10.3,349,2289,6.6,25
81,80,CIN,Jermaine Burton,WR,23,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,4,107,0,,,,Alabama,http://www.sports-reference.com/cfb/players/jermaine-burton-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,82,ARI,Tip Reiman,TE,22,2024,0,0,1,0,0,17,0,0,0,0,0,0,0,0,6,37,0,,,,Illinois,http://www.sports-reference.com/cfb/players/tip-reiman-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,83,LAR,Blake Corum,RB,23,2024,0,0,0,2,2,17,0,0,0,0,0,58,207,0,7,58,0,1,,,Michigan,http://www.sports-reference.com/cfb/players/blake-corum-1.html,Career,,45,,,,,,,,,,,,,,,674,3737,5.5,58,83.0,56,411,7.3,3,9.1,730,4148,5.7,61
85,84,PIT,Roman Wilson,WR,23,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,http://www.sports-reference.com/cfb/players/roman-wilson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,88,GNB,MarShawn Lloyd,RB,23,2024,0,0,0,0,0,1,0,0,0,0,0,6,15,0,1,3,0,,,,USC,http://www.sports-reference.com/cfb/players/marshawn-lloyd-1.html,Career,,32,,,,,,,,,,,,,,,291,1621,5.6,19,50.7,34,452,13.3,2,14.1,325,2073,6.4,21
