Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Kyle Juszczyk,FB,33,17,15,0.0,0.0,0.0,0.0,0.0,5.0,26.0,5.2,1.0,31.0,19.0,200.0,10.53,2.0,1.0,1.0,3,,,39.0,57.6,61.6,48.1,,68,,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Michael Burton,FB,32,17,2,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.14,1.0,10.0,10.0,65.0,6.5,1.0,0.0,0.0,2,,,19.0,29.3,29.3,24.3,,93,,2024,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alec Ingold,FB,28,15,10,0.0,0.0,0.0,0.0,0.0,10.0,17.0,1.7,1.0,12.0,11.0,96.0,8.73,0.0,2.0,1.0,1,,,15.0,26.3,27.3,20.8,,98,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Patrick Ricard,FB,30,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,3.0,22.0,7.33,1.0,0.0,0.0,2,,,14.0,17.2,17.2,15.7,,100,,2024,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C.J. Ham,FB,31,17,3,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,1.0,6.0,5.0,35.0,7.0,0.0,1.0,1.0,1,,,9.0,13.5,14.5,11.0,,107,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Reggie Gilliam,FB,27,15,0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.33,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,1.0,0.7,0.7,0.7,,135,,2024,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Troy Hairston,FB,26,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,142,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jakob Johnson,FB,30,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,145,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Adam Prentice,FB,27,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,150,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Saquon Barkley,RB,27,16,16,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,5.81,13.0,43.0,33.0,278.0,8.42,2.0,2.0,1.0,15,3.0,,322.0,355.3,362.3,338.8,163.0,1,1.0,2024,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Derrick Henry,RB,30,17,17,0.0,0.0,0.0,0.0,0.0,325.0,1921.0,5.91,16.0,22.0,19.0,193.0,10.16,2.0,3.0,1.0,18,,,317.0,336.4,343.4,326.9,159.0,2,2.0,2024,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jahmyr Gibbs,RB,22,17,4,0.0,0.0,0.0,0.0,0.0,250.0,1412.0,5.65,16.0,63.0,52.0,517.0,9.94,4.0,1.0,1.0,20,,,311.0,362.9,369.9,336.9,153.0,3,3.0,2024,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
